"Genus","obj_id","species","speciesMatched","uuid","ifungorum_number","acid_phosphatase","acidPhosphatase_count","alpha_glucosidase","alphaGlucosidase15_count","alphaGlucosidase31_count","alphaMannanase76_count","aminoAcidPermease_count","ammoniumTransporter_count","amylase88_count","ascoma_development","ascoma_type","ascus_dehiscence","auxinResponsivePromoter_count","beta_glucosidase","beta_glucuronidase","beta_xylosidase","betaGlucanSynthase_count","betaGlucosidase1_count","betaXylosidase43_count","blueChannel_mean","blueChannel_sd","cellobiohydrolase","cellobiohydrolase6_count","cellobiohydrolase7_count","chitinase_count","chitosanase8_count","Cohens_d_Cellulose","Cohens_d_Glucose","Cohens_d_Lignin","Cohens_d_Tannin","Cohens_d_Xylan","coldShockProtein_count","colour_mean","confidence_fg","crystalineCellulaseAA9_count","culture_media","culture_notes","dsDNA","elevation","em_expl","em_text","endoglucanase12_count","endoglucanase9_count","extension_rate","fruiting_body_size","fungalLigninPeroxidase_count","glucosidase81_count","glycopeptidase85_count","glycoproteinSynthesis92_count","greenChannel_mean","greenChannel_sd","growth_form_fg","guild_fg","heatShockProtein_count","higher_clade","invertase32_count","latitude","leucine_aminopeptidase","longitude","map","mat","melanin_content","melanin_count","n_acetyl_glucosaminidase","nitrateTransporter_count","notes_fg","peroxidase","phenol_oxidase","phosphateTransporter_count","redChannel_mean","redChannel_sd","RNAHelicase_count","RNApolymerase_count","source_funguild_fg","spore_length","spore_size","spore_width","sporocarp_chitin","sporocarp_N","sporocarp_protein","sporocarp_resp","sterol_type","studyName","substrate","taxonomic_level_fg","tissue_c","tissue_cn","tissue_cp","tissue_n","tissue_np","tissue_p","total_genes","trait_fg","trehalase_count","trophic_mode_fg","guid","mbNumber","taxonomicLevel","trophicMode","guild","confidenceRanking","growthForm","trait","notes","citationSource"
"Abortiporus","Zhang_and_Elser_249","Abortiporus_biennis","Abortiporus biennis","1cb17c1b-36b9-11d5-9548-00d0592d548c",283905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,39.003,NA,-4.491,462,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhang_and_Elser","",NA,44,NA,275.89,NA,NA,0.41,NA,NA,NA,NA,"1CB1C270-36B9-11D5-9548-00D0592D548C","17001","Genus","Pathotroph-Saprotroph","Plant Pathogen-|Wood Saprotroph|","Highly Probable","Polyporoid","White Rot","As root_pathogen (Põlme et al. 2020); As white_rot (Põlme et al. 2020); Decay wood, roots (Põlme et al. 2020)","Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"Acanthostigma","Treseder_etal_2016_1","Acanthostigma_perpusillum","Acanthostigma perpusillum","1ceb96b4-c152-4099-9a46-a74fac943c0b",204820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treseder_etal_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1CB17C32-36B9-11D5-9548-00D0592D548C","16","Genus","Saprotroph","Undefined Saprotroph-|Wood Saprotroph|","Probable","Microfungus","NULL","Decay wood (Põlme et al. 2020)","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"Acanthostigma","Treseder_etal_2016_2","Acanthostigma_perpusillum","Acanthostigma perpusillum","1ceb96b4-c152-4099-9a46-a74fac943c0b",204820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894427190999916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treseder_etal_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1CB17C32-36B9-11D5-9548-00D0592D548C","16","Genus","Saprotroph","Undefined Saprotroph-|Wood Saprotroph|","Probable","Microfungus","NULL","Decay wood (Põlme et al. 2020)","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"Acaulospora","Schlussler_spores_19","Acaulospora_scrobiculata","Acaulospora scrobiculata","7338eb93-f4bb-463e-ad5b-fa29ffd7599a",308079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glomeromycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,1055575.13160617,120,NA,NA,NA,NA,NA,"Schlussler_spores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1CB17C36-36B9-11D5-9548-00D0592D548C","20003","Genus","Symbiotroph","|Arbuscular Mycorrhizal|-Endophyte","Highly Probable","Microfungus","NULL","As root_endophyte (Põlme et al. 2020)","Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"Acaulospora","Schlussler_spores_18","Acaulospora_punctata","Acaulospora punctata","3fbc56a1-6a6a-4cd5-bbbb-14e8a1782bb7",561543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glomeromycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,7238.22947387088,24,NA,NA,NA,NA,NA,"Schlussler_spores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1CB17C36-36B9-11D5-9548-00D0592D548C","20003","Genus","Symbiotroph","|Arbuscular Mycorrhizal|-Endophyte","Highly Probable","Microfungus","NULL","As root_endophyte (Põlme et al. 2020)","Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"Acaulospora","Powell_0000_13","Acaulospora_rehmii","Acaulospora rehmii","22a5bb00-30da-422d-b229-21b331048558",131973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.8299513,20.84153472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#C3B993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.2284767,25.27364746,NA,NA,NA,"Glomeromycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.3765483,29.6786488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Powell_0000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1CB17C36-36B9-11D5-9548-00D0592D548C","20003","Genus","Symbiotroph","|Arbuscular Mycorrhizal|-Endophyte","Highly Probable","Microfungus","NULL","As root_endophyte (Põlme et al. 2020)","Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"Acaulospora","Schlussler_spores_13","Acaulospora_laevis","Acaulospora laevis","1cb17c37-36b9-11d5-9548-00d0592d548c",308078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glomeromycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401,6878601.41443772,181,NA,NA,NA,NA,NA,"Schlussler_spores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1CB17C36-36B9-11D5-9548-00D0592D548C","20003","Genus","Symbiotroph","|Arbuscular Mycorrhizal|-Endophyte","Highly Probable","Microfungus","NULL","As root_endophyte (Põlme et al. 2020)","Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"Acaulospora","Weete_2013_67","Acaulospora_laevis","Acaulospora laevis","1cb17c37-36b9-11d5-9548-00d0592d548c",308078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glomeromycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24-Ethyl","Weete_2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1CB17C36-36B9-11D5-9548-00D0592D548C","20003","Genus","Symbiotroph","|Arbuscular Mycorrhizal|-Endophyte","Highly Probable","Microfungus","NULL","As root_endophyte (Põlme et al. 2020)","Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"Acaulospora","Powell_0000_15","Acaulospora_scrobiculata","Acaulospora scrobiculata","7338eb93-f4bb-463e-ad5b-fa29ffd7599a",308079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.0803638,30.70495046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#C3AF86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.2948082,42.67647506,NA,NA,NA,"Glomeromycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.0997751,42.79010973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Powell_0000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1CB17C36-36B9-11D5-9548-00D0592D548C","20003","Genus","Symbiotroph","|Arbuscular Mycorrhizal|-Endophyte","Highly Probable","Microfungus","NULL","As root_endophyte (Põlme et al. 2020)","Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"Acaulospora","Schlussler_spores_20","Acaulospora_spinosa","Acaulospora spinosa","2245da03-37c4-4ea0-815e-142325b44eb5",112049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glomeromycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,4823884.10366059,198,NA,NA,NA,NA,NA,"Schlussler_spores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1CB17C36-36B9-11D5-9548-00D0592D548C","20003","Genus","Symbiotroph","|Arbuscular Mycorrhizal|-Endophyte","Highly Probable","Microfungus","NULL","As root_endophyte (Põlme et al. 2020)","Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"Acaulospora","Schlussler_spores_15","Acaulospora_mellea","Acaulospora mellea","b9e5a5cf-9404-4994-b5ea-38bf2b3f8210",105903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glomeromycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,82447.9576008105,54,NA,NA,NA,NA,NA,"Schlussler_spores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1CB17C36-36B9-11D5-9548-00D0592D548C","20003","Genus","Symbiotroph","|Arbuscular Mycorrhizal|-Endophyte","Highly Probable","Microfungus","NULL","As root_endophyte (Põlme et al. 2020)","Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"Acaulospora","Weete_2013_68","Acaulospora_scrobiculata","Acaulospora scrobiculata","7338eb93-f4bb-463e-ad5b-fa29ffd7599a",308079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glomeromycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24-Ethyl","Weete_2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1CB17C36-36B9-11D5-9548-00D0592D548C","20003","Genus","Symbiotroph","|Arbuscular Mycorrhizal|-Endophyte","Highly Probable","Microfungus","NULL","As root_endophyte (Põlme et al. 2020)","Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"Acaulospora","Schlussler_spores_5","Acaulospora_colombiana","Acaulospora colombiana","68afcd5d-106f-41e6-9eb7-d19ed8e73a89",515730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glomeromycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,113097.335529233,60,NA,NA,NA,NA,NA,"Schlussler_spores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1CB17C36-36B9-11D5-9548-00D0592D548C","20003","Genus","Symbiotroph","|Arbuscular Mycorrhizal|-Endophyte","Highly Probable","Microfungus","NULL","As root_endophyte (Põlme et al. 2020)","Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"Acaulospora","Schlussler_spores_17","Acaulospora_paulinae","Acaulospora paulinae","dd01b01b-681a-4cf4-9087-77526555d3b6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glomeromycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,14137.1669411541,30,NA,NA,NA,NA,NA,"Schlussler_spores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1CB17C36-36B9-11D5-9548-00D0592D548C","20003","Genus","Symbiotroph","|Arbuscular Mycorrhizal|-Endophyte","Highly Probable","Microfungus","NULL","As root_endophyte (Põlme et al. 2020)","Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
