"Tube_ID","Fire.Interval","Fire.Severity","Site","Transect","Location","Ortho_P_mg_kg","Nitrate_mg_kg","Ammonia_mg_kg","pH","Biomass_day","log10_biomass_day","perc_myco_host_freq","myco_host_total","VAM","ECM","Tree.Basal.Area_m2","Litter.Cover_20mm_perc","Mean.Litter.Depth_mm","Herb.Cover_0.50cm_perc","Shrub.Cover_50.200cm_perc","Shrub.Connected_50.200cm_perc","Mean.Max.Shrub.Height_cm","Herb.Shrub.Connected_0.200cm_perc","All.Tree.Canopy.Cover_perc","Live.Tree.Canopy.Cover_perc","Dead.Tree.Canopy.Cover_perc","C_N","C_P","N_P","Carb_Hyph","Nitrog_Hyph","Phos_Hyph","Longitude","Latitude","readcount","ITSall_OTUa_13","ITSall_OTUa_151","ITSall_OTUd_1875","ITSall_OTUj_1017","ITSall_OTUb_427","ITSall_OTUb_49","ITSall_OTUb_2441","ITSall_OTUa_255","ITSall_OTUj_215","ITSall_OTUc_1019","ITSall_OTUn_8735","ITSall_OTUj_12577","ITSall_OTUm_5129","ITSall_OTUb_8161","ITSall_OTUb_3024","ITSall_OTUj_14184","ITSall_OTUa_586","ITSall_OTUa_1517","ITSall_OTUa_90","ITSall_OTUa_8584","ITSall_OTUe_2810","ITSall_OTUj_3346","ITSall_OTUm_14529","ITSall_OTUj_119","ITSall_OTUa_515","ITSall_OTUf_540","ITSall_OTUa_3548","ITSall_OTUj_19097","ITSall_OTUj_17688","ITSall_OTUm_9536","ITSall_OTUf_1","ITSall_OTUa_797","ITSall_OTUa_720","ITSall_OTUj_3647","ITSall_OTUj_6306","ITSall_OTUm_8394","ITSall_OTUj_12409","ITSall_OTUj_593","ITSall_OTUe_4361","ITSall_OTUa_9461","ITSall_OTUg_230","ITSall_OTUf_542","ITSall_OTUj_240","ITSall_OTUa_4352","ITSall_OTUb_26","ITSall_OTUm_14471","ITSall_OTUa_1001","ITSall_OTUa_706","ITSall_OTUm_5515","ITSall_OTUj_272","ITSall_OTUj_685","ITSall_OTUn_605","ITSall_OTUj_330","ITSall_OTUa_242","ITSall_OTUm_6301","ITSall_OTUm_4005","ITSall_OTUa_1016","ITSall_OTUj_175","ITSall_OTUa_8076","ITSall_OTUj_65","ITSall_OTUj_931","ITSall_OTUm_1869","ITSall_OTUa_581","ITSall_OTUb_2083","ITSall_OTUa_1255","ITSall_OTUf_14","ITSall_OTUf_11","ITSall_OTUj_548","ITSall_OTUd_3965","ITSall_OTUj_26487","ITSall_OTUk_1642","ITSall_OTUe_4441","ITSall_OTUn_1693","ITSall_OTUa_762","ITSall_OTUn_1678","ITSall_OTUj_644","ITSall_OTUj_286","ITSall_OTUj_9587","ITSall_OTUf_1054","ITSall_OTUj_26677","ITSall_OTUm_3073","ITSall_OTUa_9946","ITSall_OTUa_9138","ITSall_OTUf_574","ITSall_OTUj_13635","ITSall_OTUj_19104","ITSall_OTUj_177","ITSall_OTUn_5685","ITSall_OTUm_14563","ITSall_OTUa_484","ITSall_OTUa_10308","ITSall_OTUa_6570","ITSall_OTUa_851","ITSall_OTUa_6712","ITSall_OTUj_9095","ITSall_OTUa_994","ITSall_OTUj_464","ITSall_OTUa_4555","ITSall_OTUm_386","ITSall_OTUn_12223","ITSall_OTUj_20919","ITSall_OTUj_14517","ITSall_OTUj_1545","ITSall_OTUj_6744","ITSall_OTUj_7447","ITSall_OTUj_17852","ITSall_OTUj_6467","ITSall_OTUm_39","ITSall_OTUa_2566","ITSall_OTUa_2145","ITSall_OTUj_5244","ITSall_OTUm_14021","ITSall_OTUm_172","ITSall_OTUc_718","ITSall_OTUn_2565","ITSall_OTUj_11060","ITSall_OTUb_8759","ITSall_OTUb_3146","ITSall_OTUb_2058","ITSall_OTUc_2427","ITSall_OTUj_2352","ITSall_OTUa_7612","ITSall_OTUj_403","ITSall_OTUj_14951","ITSall_OTUj_1429","ITSall_OTUa_7420","ITSall_OTUm_26","ITSall_OTUm_2633","ITSall_OTUm_139","ITSall_OTUm_4360","ITSall_OTUm_140","ITSall_OTUa_114","ITSall_OTUm_355","ITSall_OTUj_5345","ITSall_OTUj_1470","ITSall_OTUm_12861","ITSall_OTUj_150","ITSall_OTUm_603","ITSall_OTUj_935","ITSall_OTUa_9510","ITSall_OTUj_74","ITSall_OTUm_111","ITSall_OTUm_1506","ITSall_OTUn_6179","ITSall_OTUn_5597","ITSall_OTUn_5925","ITSall_OTUn_1847","ITSall_OTUn_4186","ITSall_OTUn_3102","ITSall_OTUn_316","ITSall_OTUn_4986","ITSall_OTUn_8748","ITSall_OTUn_8899","ITSall_OTUn_10605","ITSall_OTUn_12191","ITSall_OTUa_1273","ITSall_OTUa_1513","ITSall_OTUb_342","ITSall_OTUf_395","ITSall_OTUg_193","ITSall_OTUn_1190","nonmyco_reads","ratio_myco_nonmyco"
73,"Short","Low",5,1,3,0.923518164435946,0.240917782026769,0.240917782026769,5.34,0.00957654865023968,-2.01879098071506,0.690058479532164,118,0.569767441860465,0.0813953488372093,58212.91,36.734693877551,14.2777777777778,54,40,2,59.46,32,38,37,1,14.1510453342791,3380.30660300233,238.873279192595,44.9728858095816,3.17806103699212,0.0133043806646526,150.27821,-33.5781,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,209,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,14,17,135,0,0,0,0,0,0,10,0,0,0,0,0,113,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,48,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,0.761047463175123
94,"Short","Low",5,1,16.2,0.788753799392097,2.46960486322188,52.0782674772037,5.26,0.025566274992613,-1.59233254408945,0.690058479532164,118,0.569767441860465,0.0813953488372093,58212.91,36.734693877551,14.2777777777778,54,40,2,59.46,32,38,37,1,14.1510453342791,3380.30660300233,238.873279192595,44.9728858095816,3.17806103699212,0.0133043806646526,150.27821,-33.5781,2292,0,0,15,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,258,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.995223621363439
91,"Short","Low",5,1,47,0.862121212121212,0.254545454545455,0.254545454545455,5.14,0.0248884026188168,-1.60400297627591,0.690058479532164,118,0.569767441860465,0.0813953488372093,58212.91,36.734693877551,14.2777777777778,54,40,2,59.46,32,38,37,1,14.1510453342791,3380.30660300233,238.873279192595,44.9728858095816,3.17806103699212,0.0133043806646526,150.27821,-33.5781,826,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,"Short","Low",5,2,3,1.27745664739884,1.73193641618497,17.6127167630058,5.23,0.0039209241794864,-2.40661155574852,0.725490196078431,148,0.592233009708738,0.0728155339805825,58212.91,31.6326530612245,12.2258064516129,66,26,0,90.98,22,26,17,9,11.9443257163128,NA,NA,41.9787969811321,3.51453886792454,NA,150.27821,-33.5781,3279,25,0,19,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,57,0.982913669064748
78,"Short","Low",5,2,33,0.896875,0.2625,2.4421875,5.68,0.00527455872004005,-2.27781386844128,0.725490196078431,148,0.592233009708738,0.0728155339805825,58212.91,31.6326530612245,12.2258064516129,66,26,0,90.98,22,26,17,9,11.9443257163128,NA,NA,41.9787969811321,3.51453886792454,NA,150.27821,-33.5781,16171,0,0,0,0,0,0,0,79,0,3798,0,0,0,0,10319,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,1644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.998703063241107
72,"Short","Low",5,2,47,0.981553398058252,2.0126213592233,0.224271844660194,5.47,0.00806274072713958,-2.09351730554643,0.725490196078431,148,0.592233009708738,0.0728155339805825,58212.91,31.6326530612245,12.2258064516129,66,26,0,90.98,22,26,17,9,11.9443257163128,NA,NA,41.9787969811321,3.51453886792454,NA,150.27821,-33.5781,755,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,"Long","Low",7,1,3,0.690291262135922,0.244660194174757,19.346359223301,4.83,0.0044830577668912,-2.34842566495298,0.646551724137931,150,0.563559322033898,0.0677966101694915,36389.88,34.6938775510204,6.68235294117647,70,44,0,104.376,44,33,26,7,14.9112509570638,6342.35095421046,425.33996459941,48.1413645619758,3.22852621155638,0.00759046052631579,150.36966,-33.63916,38762,14,0,0,0,0,0,0,0,0,0,0,0,0,27473,0,0,103,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,"Long","Low",7,1,16,1.75102040816327,0.257142857142857,2.27831632653061,5.35,0.00323628608000281,-2.48995309476216,0.646551724137931,150,0.563559322033898,0.0677966101694915,36389.88,34.6938775510204,6.68235294117647,70,44,0,104.376,44,33,26,7,14.9112509570638,6342.35095421046,425.33996459941,48.1413645619758,3.22852621155638,0.00759046052631579,150.36966,-33.63916,3361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,"Long","Low",7,1,33,0.10188679245283,0.237735849056604,12.0799528301887,5.18,0.0176668147609954,-1.75284174457471,0.646551724137931,150,0.563559322033898,0.0677966101694915,36389.88,34.6938775510204,6.68235294117647,70,44,0,104.376,44,33,26,7,14.9112509570638,6342.35095421046,425.33996459941,48.1413645619758,3.22852621155638,0.00759046052631579,150.36966,-33.63916,62,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,"Long","Low",7,2,16,0.109867751780264,0.353255340793489,0.965920651068159,5.37,0.0152558175480655,-1.81656451387541,0.607758620689655,141,0.48068669527897,0.107296137339056,36389.88,30.6122448979592,8.13333333333333,60,32,2,82.88,32,33,23,10,12.4560105495288,1824.49750684879,146.475269878268,45.4854156928949,3.65168410158543,0.0249303797468354,150.36966,-33.63916,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,17,0,0,107,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,32,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
