"Site","Transect","ITSall_OTUa_6723","ITSall_OTUa_8584","ITSall_OTUb_26","ITSall_OTUb_49","ITSall_OTUj_119","ITSall_OTUj_6306","ITSall_OTUm_14471","ITSall_OTUm_1869","ITSall_OTUm_355","ITSall_OTUn_1693","ITSall_OTUn_5597","ITSall_OTUb_3024","ITSall_OTUc_1019","ITSall_OTUj_644","ITSall_OTUn_1678","ITSall_OTUn_4186","ITSall_OTUa_1016","ITSall_OTUa_13","ITSall_OTUb_2679","ITSall_OTUd_1875","ITSall_OTUj_175","ITSall_OTUj_3346","ITSall_OTUk_1642","ITSall_OTUn_4873","ITSall_OTUj_12577","ITSall_OTUj_150","ITSall_OTUa_5975","ITSall_OTUb_2441","ITSall_OTUj_464","ITSall_OTUm_5129","ITSall_OTUj_13635","ITSall_OTUj_17852","ITSall_OTUj_286","ITSall_OTUj_6744","ITSall_OTUj_7447","ITSall_OTUj_9587","ITSall_OTUa_10308","ITSall_OTUm_3073","ITSall_OTUn_316","ITSall_OTUj_272","ITSall_OTUf_1","ITSall_OTUf_14","ITSall_OTUf_574","ITSall_OTUj_19782","ITSall_OTUj_3647","ITSall_OTUj_548","ITSall_OTUm_9536","ITSall_OTUb_8161","ITSall_OTUj_1545","ITSall_OTUm_172","ITSall_OTUn_6179","ITSall_OTUj_14951","ITSall_OTUn_2565","ITSall_OTUn_8735","ITSall_OTUa_720","ITSall_OTUa_762","ITSall_OTUa_8076","ITSall_OTUb_8759","ITSall_OTUf_540","ITSall_OTUj_11060","ITSall_OTUm_6301","ITSall_OTUa_242","ITSall_OTUa_425","ITSall_OTUa_9138","ITSall_OTUb_3146","readcount","mean_log10_biomass_day","mean_Ortho_P_mg_kg","mean_Nitrate_mg_kg","mean_Ammonia_mg_kg","mean_pH","Sample","Fire.Interval","Fire.Severity","Carb_Hyph","Nitrog_Hyph","Hydrogen","Sample_mg_CN","C_N","Sample_mg_P","Phos_Hyph","C_P","N_P","C_N_P_ratio","myco_host_total","perc_myco_host_freq","VAM","ECM"
"5","1",18,19,67,47,161,22,22,75,97,24,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,-1.84850250280368,0.654055024756545,0.778045871102372,13.2040096015209,5.2575,5.1,"Short","Low",44.9728858095816,3.17806103699212,6.191381594906,1.649,14.1510453342791,1.986,0.0133043806646526,3380.30660300233,238.873279192595,"3380:239:1",118,0.690058479532164,0.569767441860465,0.0813953488372093
"7","1",0,0,0,87,0,0,0,0,0,0,0,986,275,94,21,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490,-2.29598130792977,0.796131248341067,0.249170439379269,10.206450462352,5.0375,7.1,"Long","Low",48.1413645619758,3.22852621155638,6.69884692451072,1.073,14.9112509570638,1.824,0.00759046052631579,6342.35095421046,425.33996459941,"6342:425:1",150,0.646551724137931,0.563559322033898,0.0677966101694915
"7","2",0,0,0,1025,0,0,0,0,0,0,0,0,0,0,0,0,2148,3730,49,55,3115,157,42,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10335,-1.91611199253001,1.20574757670258,1.35460729206264,6.88626909252708,5.3225,7.2,"Long","Low",45.4854156928949,3.65168410158543,6.6278990017616,1.703,12.4560105495288,1.975,0.0249303797468354,1824.49750684879,146.475269878268,"1824:146:1",141,0.607758620689655,0.48068669527897,0.107296137339056
"8","1",0,10033,0,12020,0,0,0,0,0,0,0,0,0,0,13,0,0,83,0,0,0,0,44217,0,222,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66613,-2.02467693283675,1.04631170527304,0.449007015091758,5.73509068510884,5.4575,8.1,"Long","Low",45.300884198895,2.59118955801105,6.23499475138121,0.905,17.4826592901475,1.892,0.0399378964059197,1134.28318152932,64.8804717122502,"1134:65:1",118,0.715151515151515,0.551515151515152,0.145454545454545
"10","2",0,0,0,0,0,0,0,0,0,0,0,0,0,752,10,0,382,989,0,91,0,0,0,0,0,0,61,65,36,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2466,-2.09189215462792,0.994743935478449,1.21863596930843,7.1158710368352,5.1825,10.2,"Short","High",48.5355832892999,3.64212912813739,6.66379656538969,0.757,13.3261566467637,1.789,0.0217453884851873,2231.99430639567,167.489724573942,"2232:167:1",143,0.740932642487047,0.606217616580311,0.0829015544041451
"11","1",0,39141,0,25,865,0,0,0,0,36,0,0,0,0,0,0,578,911,0,429,0,0,50,0,0,0,0,0,0,0,237,60,60,47,150,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42676,-2.06586159052262,0.641247355234702,0.19214942227314,1.34149530393674,5.135,11.1,"Short","High",49.1687603699212,4.19953453608248,6.93373923590055,1.649,11.7081452593049,1.988,0.002,24584.3801849606,2099.76726804124,"24584:2100:1",117,0.73125,0.65625,0.075
"26","1",0,0,0,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,23,0,33,0,0,0,30,3021,3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6859,-2.05664643991829,0.96443970598516,0.157168547862068,4.32640619165071,5.2925,26.1,"Short","Low",44.3303466993756,3.40669553969672,6.12948461195362,1.121,13.0127116388341,1.988,0.0238316398390342,1860.14672086334,142.948431694442,"1860:143:1",200,0.858369098712446,0.768240343347639,0.0858369098712446
"26","2",0,0,0,2835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,631,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3585,-2.13616831933131,0.945216905944177,0.250037736918633,1.63456207339384,5,26.2,"Short","Low",46.2754848478783,2.96049533626902,5.92946997598078,1.249,15.6309940032526,2.173,0.0301967326277036,1532.4666220816,98.0402539827421,"1532:98:1",144,0.73469387755102,0.646464646464647,0.0555555555555556
"31","1",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,41,0,0,0,44,0,0,0,0,0,0,37,13,0,310,0,0,0,29,81,33,10,26,151,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,-2.02285517634988,1.08047127212721,0.614878937893789,8.17087291854186,5.4375,31.1,"Short","High",42.9353645607375,4.43879351952278,6.02368383947939,0.922,9.67275552960471,2.027,0.0565182535767143,759.672527787146,78.5373439308035,"760:79:1",109,0.698717948717949,0.647435897435897,0.0384615384615385
"31","2",0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2536,51,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2845,-1.9397090762055,1.06584653465347,0.374757703141004,3.56467909879042,5.34,31.2,"Short","High",45.5041745748299,3.65054175170068,5.85668735827664,1.764,12.4650470176463,2.072,0.0582082528957529,781.747816006862,62.7151919202687,"782:63:1",116,0.682352941176471,0.6,0.0529411764705882
