"Genus","Family","Type","Notes"
"Acacia","Fabaceae","ECM | VAM",""
"Anisopogon","Poaceae","VAM","Classification based on other genera in family"
"Banksia","Proteaceae","NM",""
"Billardiera","Pittosporaceae","VAM",""
"Boronia","Rutaceae","VAM",""
"Bossiaea","Fabaceae","VAM",""
"Cassytha","Lauraceae","NM","Can have members of family that are mycorrhizal, but all species observed are hemi-parasitic growing on stems and are NM as such."
"Caustis","Cyperaceae","NM",""
"Conospermum","Proteaceae","NM",""
"Corymbia","Myrtaceae","ECM",""
"Cyathochaeta","Cyperaceae","NM","Classification based on other genera in family"
"Dampiera","Goodeniaceae","VAM",""
"Daviesia","Fabaceae","VAM | NM | ECM",""
"Eucalyptus","Myrtaceae","ECM",""
"Gahnia","Cyperaceae","NM",""
"Gompholobium","Fabaceae","VAM | ECM",""
"Gonocarpus","Haloragaceae","VAM","Classification based on other genera in family"
"Goodenia","Goodeniaceae","VAM",""
"Haemodorum","Haemodoraceae","NM",""
"Hakea","Proteaceae","NM",""
"Hibbertia","Dilleniaceae","VAM",""
"Hovea","Fabaceae","VAM",""
"Lambertia","Proteaceae","NM","Classification based on other genera in family"
"Lepidosperma","Cyperaceae","NM",""
"Leptospermum","Myrtaceae","ECM | VAM",""
"Lindsaea","Lindsaeaceae","VAM",""
"Lomandra","Asparagaceae","NM",""
"Lomatia","Proteaceae","NM",""
"Monotoca","Ericaceae","Ericoid",""
NA,"Orchidaceae","Orchid | MHOrchid","Classification based on other genera in family"
"Patersonia","Iridaceae","VAM",""
"Persoonia","Proteaceae","NM","Classification based on other genera in family"
"Petrophile","Proteaceae","NM","Classification based on other genera in family"
"Phyllota","Fabaceae","VAM | ECM | NM","Classification based on other genera in family"
"Pimelea","Thymelaeaceae","VAM",""
"Platysace","Apiaceae","VAM",""
NA,"Poaceae","VAM","Classification based on other genera in family"
"Poranthera","Phyllanthaceae","ECM",""
"Pteridium","Dennstaedtiaceae","VAM",""
"Pultenaea","Fabaceae","ECM",""
"Rytidosperma","Poaceae","VAM","Classification based on other genera in family"
"Schizaea","Schizaeaceae","VAM",""
"Sporadanthus","Restionaceae","NM","Classification based on other genera in family"
"Xanthosia","Apiaceae","VAM",""
"Acianthus","Orchidaceae","Orchid",""
"Actinotus","Apiaceae","VAM","Classification based on other genera in family"
"Allocasuarina","Casuarinaceae","ECM",""
"Amperea","Euphorbiaceae","VAM","Classification based on other genera in family"
"Cryptandra","Fabaceae","ECM | VAM",""
"Cryptostylis","Orchidaceae","Orchid",""
"Dianella","Hemerocallidaceae","VAM",""
"Dillwynia","Fabaceae","VAM | ECM",""
"Entolasia","Poaceae","VAM","Classification based on other genera in family"
"Grevillea","Proteaceae","NM",""
"Isopogon","Proteaceae","NM",""
"Laxmannia","Asparagaceae","VAM",""
"Styphelia","Ericaceae","Ericoid",""
"Microlaena","Poaceae","VAM","Classification based on other genera in family"
"Mitrasacme","Loganiaceae","VAM",""
"Philotheca","Rutaceae","VAM",""
"Phyllanthus","Euphorbiaceae","VAM",""
"Smilax","Smilacaceae","VAM",""
"Stylidium","Stylidiaceae","VAM",""
"Stypandra","Hemerocallidaceae","VAM","Classification based on other genera in family"
"Thysanotus","Asparagaceae","NM","Unique sub-epidermal association - McGee 1988, Brundrett & Abbott 1991."
"Aristida","Poaceae","VAM","Classification based on other genera in family"
NA,"Asteraceae","VAM","Classification based on other genera in family"
"Epacris","Ericaceae","Ericoid",""
"Eriostemon","Lamiaceae","VAM",""
"Lepyrodia","Restionaceae","NM","Classification based on other genera in family"
"Opercularia","Rubiaceae","VAM",""
"Pomax","Rubiaceae","VAM",""
"Pterostylis","Orchidaceae","Orchid",""
"Telopea","Proteaceae","NM",""
"Austrostipa","Poaceae","VAM","Classification based on other genera in family"
"Erigeron","Asteraceae","VAM","Classification based on other genera in family"
"Mirbelia","Fabaceae","ECM",""
"Phyllanthus","Phyllanthaceae","VAM",""
"Poa","Poaceae","VAM",""
"Schoenus","Cyperaceae","NM","Classification based on other genera in family"
"Tetrarrhena","Poaceae","VAM",""
"Xanthorrhoea","Xanthorrhoeaceae","VAM",""
"Caesia","Hemerocallidaceae","Unkown",""
"Rhytidosporum","Pittosporaceae","VAM","Classification based on other genera in family"
"Tetratheca","Elaeocarpaceae","VAM",""
"Scaevola","Goodeniaceae","VAM",""
"Leucopogon","Ericaceae","Ericoid",""
"Pseudolycopodium","Lycopodiaceae","VAM","Classification based on other genera in family"
"Sporobolus","Poaceae","VAM","Classification based on other genera in family"
"Sphaerolobium","Fabaceae","VAM | ECM | NM","Classification based on other genera in family"
"Podolobium","Fabaceae","VAM | ECM | NM","Classification based on other genera in family"
"Viola","Violaceae","VAM","Classification based on other genera in family"
"Choretrum","Santalaceae","VAM","Classification based on other genera in family"
"Cryptandra","Rhamnaceae","ECM | VAM",""
"Stylidium","Cornaceae","VAM",""
"Brunoniella","Acanthaceae","Unkown","Type not determined due to lack of records, removed from analysis."
"Lomatia","Akaniaceae","NM",""
"Bothriochloa","Poaceae","VAM","Classification based on other genera in family"
"Empodisma","Restionaceae","NM","Classification based on other genera in family"
"Xylomelum","Proteaceae","NM",""
"Aotus","Fabaceae","VAM | ECM | NM","Classification based on other genera in family"
"Brachyloma","Ericaceae","Ericoid",""
"Angophora","Myrtaceae","ECM",""
"Hardenbergia","Fabaceae","VAM | ECM",""
"Woollsia","Ericaceae","Ericoid",""
"Phebalium","Rutaceae","VAM",""
"Themeda","Poaceae","VAM",""
"Zieria","Rutaceae","VAM","Classification based on other genera in family"
"Glycine","Fabaceae","VAM | ECM | NM","Classification based on other genera in family"
"Kennedia","Fabaceae","VAM | NM",""
"Phebalium","Proteaceae","VAM",""
"Polyscias","Araliaceae","VAM",""
"Pseudanthus","Euphorbiaceae","VAM","Classification based on other genera in family"
"Comesperma","Polygalaceae","VAM",""
"Cheilanthes","Pteridaceae","VAM",""
"Eragrostis","Poaceae","VAM",""
"Lobelia","Campanulaceae","VAM",""
NA,"Rubiaceae","VAM","Classification based on other genera in family"
