"Genus","SH_ID","Reference","Kingdom","Phylum","Class","Order","Family","Species","guid","mbNumber","taxonomicLevel","trophicMode","guild","confidenceRanking","growthForm","trait","notes","citationSource","guild2","exploration_type","Ecm_lineage"
"Amanita","SH1174662.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita_marmorata","1CB17D3A-36B9-11D5-9548-00D0592D548C","17045","Genus","Saprotroph-Symbiotroph","mycorrhizal","Probable","Agaricoid","NULL","Some members of the genus are deadly poisonous","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Wolfe BE, et al. 2012. PLoS ONE 7:e39597 ((https://doi.org/10.1371/journal.pone.0039597)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)); http://en.wikipedia.org/wiki/List_of_deadly_fungi ((http://en.wikipedia.org/wiki/List_of_deadly_fungi))","Ectomycorrhizal","contact","/amanita"
"Amanita","SH1845757.09FU","refs","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita_millsii","1CB17D3A-36B9-11D5-9548-00D0592D548C","17045","Genus","Saprotroph-Symbiotroph","mycorrhizal","Probable","Agaricoid","NULL","Some members of the genus are deadly poisonous","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Wolfe BE, et al. 2012. PLoS ONE 7:e39597 ((https://doi.org/10.1371/journal.pone.0039597)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)); http://en.wikipedia.org/wiki/List_of_deadly_fungi ((http://en.wikipedia.org/wiki/List_of_deadly_fungi))","Ectomycorrhizal","contact","/amanita"
"Amanita","SH1238714.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae",NA,"1CB17D3A-36B9-11D5-9548-00D0592D548C","17045","Genus","Saprotroph-Symbiotroph","mycorrhizal","Probable","Agaricoid","NULL","Some members of the genus are deadly poisonous","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Wolfe BE, et al. 2012. PLoS ONE 7:e39597 ((https://doi.org/10.1371/journal.pone.0039597)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)); http://en.wikipedia.org/wiki/List_of_deadly_fungi ((http://en.wikipedia.org/wiki/List_of_deadly_fungi))","Ectomycorrhizal","contact","/amanita"
"Amanita","SH1192447.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae",NA,"1CB17D3A-36B9-11D5-9548-00D0592D548C","17045","Genus","Saprotroph-Symbiotroph","mycorrhizal","Probable","Agaricoid","NULL","Some members of the genus are deadly poisonous","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Wolfe BE, et al. 2012. PLoS ONE 7:e39597 ((https://doi.org/10.1371/journal.pone.0039597)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)); http://en.wikipedia.org/wiki/List_of_deadly_fungi ((http://en.wikipedia.org/wiki/List_of_deadly_fungi))","Ectomycorrhizal","contact","/amanita"
"Amanita","SH1174629.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita_marmorata","1CB17D3A-36B9-11D5-9548-00D0592D548C","17045","Genus","Saprotroph-Symbiotroph","mycorrhizal","Probable","Agaricoid","NULL","Some members of the genus are deadly poisonous","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Wolfe BE, et al. 2012. PLoS ONE 7:e39597 ((https://doi.org/10.1371/journal.pone.0039597)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)); http://en.wikipedia.org/wiki/List_of_deadly_fungi ((http://en.wikipedia.org/wiki/List_of_deadly_fungi))","Ectomycorrhizal","contact","/amanita"
"Amanita","SH1192470.09FU","refs","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae",NA,"1CB17D3A-36B9-11D5-9548-00D0592D548C","17045","Genus","Saprotroph-Symbiotroph","mycorrhizal","Probable","Agaricoid","NULL","Some members of the genus are deadly poisonous","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Wolfe BE, et al. 2012. PLoS ONE 7:e39597 ((https://doi.org/10.1371/journal.pone.0039597)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)); http://en.wikipedia.org/wiki/List_of_deadly_fungi ((http://en.wikipedia.org/wiki/List_of_deadly_fungi))","Ectomycorrhizal","contact","/amanita"
"Amanita","SH1192450.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae",NA,"1CB17D3A-36B9-11D5-9548-00D0592D548C","17045","Genus","Saprotroph-Symbiotroph","mycorrhizal","Probable","Agaricoid","NULL","Some members of the genus are deadly poisonous","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Wolfe BE, et al. 2012. PLoS ONE 7:e39597 ((https://doi.org/10.1371/journal.pone.0039597)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)); http://en.wikipedia.org/wiki/List_of_deadly_fungi ((http://en.wikipedia.org/wiki/List_of_deadly_fungi))","Ectomycorrhizal","contact","/amanita"
"Amanita","SH1129077.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita_roseolamellata","1CB17D3A-36B9-11D5-9548-00D0592D548C","17045","Genus","Saprotroph-Symbiotroph","mycorrhizal","Probable","Agaricoid","NULL","Some members of the genus are deadly poisonous","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Wolfe BE, et al. 2012. PLoS ONE 7:e39597 ((https://doi.org/10.1371/journal.pone.0039597)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)); http://en.wikipedia.org/wiki/List_of_deadly_fungi ((http://en.wikipedia.org/wiki/List_of_deadly_fungi))","Ectomycorrhizal","contact","/amanita"
"Amylascus","SH0891601.09FU","reps","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae",NA,"0A3FF58F-D6D6-4767-9C71-6B65D094E737","182","Genus","Symbiotroph","mycorrhizal","Highly Probable","Gasteroid","Hypogeous","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))","Ectomycorrhizal","short-distance_coarse","/pachyphloeus-amylascus"
"Arcangeliella","SH1905162.09FU","refs_singleton","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Arcangeliella_corkii","1CB17DEF-36B9-11D5-9548-00D0592D548C","19020","Genus","Symbiotroph","mycorrhizal","Highly Probable","Gasteroid","Hypogeous","Common name - false truffle","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","Ectomycorrhizal","contact","/russula-lactarius"
