"pH","Site","Transect","Location","Ammonia_mg_kg","Nitrate_mg_kg","Ortho_P_mg_kg"
5.01,"56","1","3",0.383042600073448,0.20894234300404,0.0575100991553434
4.9,"56","1","33",0.617520960365854,0.00960365853658537,0.172008384146342
5.18,"56","1","47",0.386712561297623,0.273943794794417,0.0602036967182195
5.44,"56","1","16",0.690837874659401,0.0654972752043597,0.257425068119891
5.61,"31","1","16",0.29793986636971,0.00935412026726058,0.0353006681514477
5.61,"31","1","3",0.329781372200498,0.00895840739424103,0.0394063277639531
5.11,"31","1","33",0.319279262325932,0.0647534813699661,0.0623259315016937
5.42,"31","1","47",0.26509703196347,0.00958904109589041,0.0236301369863014
5.05,"34","2","3",0.2390625,0.0184393825301205,0.0259224397590361
4.8,"34","2","16",0.0258381502890173,0.00971098265895954,0.041849710982659
4.6,"34","2","33",0.266100230414747,0.00967741935483871,0.0538018433179724
4.67,"34","2","47",0.00971847281141535,0.00971847281141535,0.0375433860393367
5.06,"49","1","16",0.157871720116618,0.0479409620991254,0.05625
5.04,"49","1","33",0.0705656934306569,0.00919708029197081,0.0368978102189781
5.04,"49","1","3",0.830586139896373,0.0163212435233161,0.0907383419689119
5.1,"49","1","47",0.702882037533512,0.315348525469169,0.0166219839142091
4.91,"56","2","16",0.235185909980431,0.00986301369863014,0.102974559686888
5.01,"56","2","33",2.42644732037811,0.20018053470729,0.10339161832123
4.89,"56","2","3",0.508676193467337,0.148722126256281,0.263171325376884
5.08,"56","2","47",0.814052838673412,0.175407532321529,0.056717256885891
5.39,"29","1","3",0.331501662356853,0.0312246028814185,0.0237717029922423
5.41,"29","1","33",0.9159140969163,0.00974669603524229,0.0593612334801762
5.33,"29","1","16",0.17958636537725,0.0096514745308311,0.027230945997702
5.14,"29","1","47",0.343780579601054,0.00948438088069251,0.00671810312382386
5.39,"29","2","47",0.0188622754491018,0.0188622754491018,0.0577095808383234
5.47,"29","2","3",0.720091324200913,0.113299086757991,0.0689497716894977
5.62,"29","2","33",0.289137134052388,0.00589368258859784,0.0420647149460709
5.38,"29","2","16",1.25423158640227,0.0452018413597734,0.0402620396600567
5.38,"29","2","16",1.389,0.0500588235294118,0.0445882352941177
4.87,"49","2","47",0.0204213938411669,0.199534035656402,0.170056726094003
4.78,"49","2","3",0.379757158390721,0.0551014860456687,0.140213845596231
5.18,"49","2","16",0.530636173030236,0.0139042154049879,0.0694383138380049
5.1,"26","2","3",0.00961098398169337,0.00961098398169337,0.0419908466819222
4.94,"26","2","16",0.0651407136458644,0.00940579277396238,0.0391348163630935
5.28,"26","2","33",0.00958320657134165,0.00958320657134165,0.0393025555217524
4.68,"26","2","47",0.168887370458945,0.00956610864366246,0.0232889192574878
5.09,"34","1","33",0.0306325987841945,0.0220839665653495,0.0503799392097265
4.71,"34","1","47",0.0862796833773087,0.00949868073878628,0.0499811534112326
4.83,"34","1","3",0.0792504570383912,0.00921389396709324,0.0523217550274223
4.83,"34","1","16",0.0408,0.00775384615384615,0.0306461538461539
5.3,"31","2","47",0.177098540145985,0.00919708029197081,0.0333394160583942
5.08,"31","2","3",0.143909056886228,0.0094311377245509,0.0268899700598802
5.4,"31","2","33",0.198926211453745,0.0275055066079295,0.0640969162995595
5.58,"31","2","16",0.0096551724137931,0.0096551724137931,0.0347126436781609
5.14,"5","1","47",0.00961171714089557,0.00961171714089557,0.0325539705545808
5.26,"5","1","16.2",2.06846076458752,0.0980885311871227,0.031327967806841
