"Transect","Location","Res_total_Location","myc_2nd_w","Res_remain_w","mean_undam_resin_w","myc_w_per_bead","hypo_bag","myc_2nd_w_est_yield","harvest_date","X1st_Soil_Sample","Bag_Install","Pair","Latitude","Longitude","Site_Pair","Days_Installed","log10_myc_2nd_w_est_yield","Biomass_day","log10_biomass_day","biomass_g_ha_day","Vegetation.Class","Vegetation.Class_abbreviation","Fire.Interval","Most.Recent.Fire_Year","X2nd.Most.Recent.Fire_Year","X3rd.Most.Recent.Fire_Year","Fire.Severity","FESM_Fire.Severity.Category","Fire.Type","Sample.Date_Fieldwork","Tree.Basal.Area_m2","Litter.Cover_20mm_perc","Mean.Litter.Depth_mm","Herb.Cover_0.50cm_perc","Shrub.Cover_50.200cm_perc","Shrub.Connected_50.200cm_perc","Mean.Max.Shrub.Height_cm","Herb.Shrub.Connected_0.200cm_perc","All.Tree.Canopy.Cover_perc","Live.Tree.Canopy.Cover_perc","Dead.Tree.Canopy.Cover_perc","Bray.P","NH4","NO3","Total.P","Carbon","Nitrogen","Count","pH","Ammonia_mg_kg","Nitrate_mg_kg","Ortho_P_mg_kg","Regime","Sample","Carb_Hyph","Nitrog_Hyph","Hydrogen","Sample_mg_CN","C_N","Sample_mg_P","Phos_Hyph","C_P","N_P","diff1","diff2","fire.frequency","myco_host_total","perc_myco_host_freq","Site","Tube_ID"
1,3,28.071,1.339,27.025,27.6395,0.0495467160037003,27.6395,1.36944645698427,"2024-03-09","2023-10-18","2023-10-18",1,-33.5781,150.27821,"49-5",143,0.13654505675,0.00957654865023968,-2.01879098071506,638.436576682645,"Sydney Montane DSF","SM","Short",2019,2013,2006,"Low",3,"Wildfire","2022-08-02",58212.91,36.734693877551,14.2777777777778,54,40,2,59.46,32,38,37,1,1.69467787114846,4.186,0.1855,76.5,3.3293,0.03071,1,5.34,0.00932469935245144,0.00932469935245144,0.0357446808510638,"Short_Low",5.1,44.9728858095816,3.17806103699212,6.191381594906,1.649,14.1510453342791,1.986,0.0133043806646526,3380.30660300233,238.873279192595,6,7,6.5,119,0.691860465116279,5,"73"
1,16.1,26.076,0.858,25.036,27.6395,0.0342706502636204,27.6395,0.947223637961335,"2024-03-09","2023-10-18","2023-10-18",1,-33.5781,150.27821,"49-5",143,-0.0235474726692145,0.00662394152420514,-2.17888351013428,441.596101613676,"Sydney Montane DSF","SM","Short",2019,2013,2006,"Low",3,"Wildfire","2022-08-02",58212.91,36.734693877551,14.2777777777778,54,40,2,59.46,32,38,37,1,1.69467787114846,4.186,0.1855,76.5,3.3293,0.03071,1,5.29,0.0100655056718326,0.00611119987218406,0.00173749800287586,"Short_Low",5.1,44.9728858095816,3.17806103699212,6.191381594906,1.649,14.1510453342791,1.986,0.0133043806646526,3380.30660300233,238.873279192595,6,7,6.5,119,0.691860465116279,5,"93"
1,16.2,25.837,3.287,24.85,27.6395,0.132273641851107,27.6395,3.65597732394366,"2024-03-09","2023-10-18","2023-10-18",1,-33.5781,150.27821,"49-5",143,0.563003493375612,0.025566274992613,-1.59233254408945,1704.41833284087,"Sydney Montane DSF","SM","Short",2019,2013,2006,"Low",3,"Wildfire","2022-08-02",58212.91,36.734693877551,14.2777777777778,54,40,2,59.46,32,38,37,1,1.69467787114846,4.186,0.1855,76.5,3.3293,0.03071,1,5.26,2.06846076458752,0.0980885311871227,0.031327967806841,"Short_Low",5.1,44.9728858095816,3.17806103699212,6.191381594906,1.649,14.1510453342791,1.986,0.0133043806646526,3380.30660300233,238.873279192595,6,7,6.5,119,0.691860465116279,5,"94"
1,47,27.208,3.376,26.218,27.6395,0.128766496300252,27.6395,3.55904157449081,"2024-03-09","2023-10-18","2023-10-18",1,-33.5781,150.27821,"49-5",143,0.551333061189147,0.0248884026188168,-1.60400297627591,1659.22684125446,"Sydney Montane DSF","SM","Short",2019,2013,2006,"Low",3,"Wildfire","2022-08-02",58212.91,36.734693877551,14.2777777777778,54,40,2,59.46,32,38,37,1,1.69467787114846,4.186,0.1855,76.5,3.3293,0.03071,1,5.14,0.00961171714089557,0.00961171714089557,0.0325539705545808,"Short_Low",5.1,44.9728858095816,3.17806103699212,6.191381594906,1.649,14.1510453342791,1.986,0.0133043806646526,3380.30660300233,238.873279192595,6,7,6.5,119,0.691860465116279,5,"91"
2,3,27.871,0.547,26.833,27.5046666666667,0.0203853464018187,27.5046666666667,0.560692157666555,"2024-03-09","2023-10-18","2023-10-18",1,-33.5781,150.27821,"49-5",143,-0.251275518283455,0.0039209241794864,-2.40661155574852,261.394945299093,"Sydney Montane DSF","SM","Short",2019,2013,2006,"Low",3,"Wildfire","2022-08-02",58212.91,31.6326530612245,12.2258064516129,66,26,0,90.98,22,26,17,9,1.93837535014006,9.228,0.204,101,2.2253,0.02246,1,5.23,0.681325233853837,0.0669977266798345,0.0494167629411546,"Short_Low",5.2,41.9787969811321,3.51453886792454,6.4082893081761,0.795,11.9443257163128,NA,NA,NA,NA,6,7,6.5,150,0.728155339805825,5,"80"
2,16,13.615,0.278,12.545,27.5046666666667,0.0221602231964926,27.5046666666667,0.609509552278464,"2024-03-09","2023-10-18","2023-10-18",1,-33.5781,150.27821,"49-5",143,-0.21501948369725,0.00426230456138786,-2.37035552116231,284.153637425857,"Sydney Montane DSF","SM","Short",2019,2013,2006,"Low",3,"Wildfire","2022-08-02",58212.91,31.6326530612245,12.2258064516129,66,26,0,90.98,22,26,17,9,1.93837535014006,9.228,0.204,101,2.2253,0.02246,1,5.26,0.016141889198884,0.00352730171383021,0.0638501394978079,"Short_Low",5.2,41.9787969811321,3.51453886792454,6.4082893081761,0.795,11.9443257163128,NA,NA,NA,NA,6,7,6.5,150,0.728155339805825,5,"89"
2,33,25.392,0.67,24.432,27.5046666666667,0.0274230517354289,27.5046666666667,0.754261896965728,"2024-03-09","2023-10-18","2023-10-18",1,-33.5781,150.27821,"49-5",143,-0.122477830976217,0.00527455872004005,-2.27781386844128,351.63724800267,"Sydney Montane DSF","SM","Short",2019,2013,2006,"Low",3,"Wildfire","2022-08-02",58212.91,31.6326530612245,12.2258064516129,66,26,0,90.98,22,26,17,9,1.93837535014006,9.228,0.204,101,2.2253,0.02246,1,5.68,0.0959602161100196,0.0103143418467584,0.0352406679764244,"Short_Low",5.2,41.9787969811321,3.51453886792454,6.4082893081761,0.795,11.9443257163128,NA,NA,NA,NA,6,7,6.5,150,0.728155339805825,5,"78"
2,47,29.251,1.183,28.221,27.5046666666667,0.0419191382303958,27.5046666666667,1.15297192398096,"2024-03-09","2023-10-18","2023-10-18",1,-33.5781,150.27821,"49-5",143,0.0618187319186359,0.00806274072713958,-2.09351730554643,537.516048475972,"Sydney Montane DSF","SM","Short",2019,2013,2006,"Low",3,"Wildfire","2022-08-02",58212.91,31.6326530612245,12.2258064516129,66,26,0,90.98,22,26,17,9,1.93837535014006,9.228,0.204,101,2.2253,0.02246,1,5.47,0.00818539385563942,0.0734559370681407,0.0358243860954608,"Short_Low",5.2,41.9787969811321,3.51453886792454,6.4082893081761,0.795,11.9443257163128,NA,NA,NA,NA,6,7,6.5,150,0.728155339805825,5,"72"
1,3,11.38,0.21,10.35,31.375,0.0202898550724638,31.375,0.636594202898551,"2024-03-08","2023-10-18","2023-10-18",3,-33.63916,150.36966,"34-7",142,-0.196137320569923,0.0044830577668912,-2.34842566495298,298.870517792747,"Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",3,"Wildfire","2022-08-05",36389.88,34.6938775510204,6.68235294117647,70,44,0,104.376,44,33,26,7,1.50350140056022,3.5055,0.1275,46.7,4.0009,0.03869,1,4.83,1.92528985507246,0.0243478260869565,0.068695652173913,"Long_Low",7.1,48.1413645619758,3.22852621155638,6.69884692451072,1.073,14.9112509570638,1.824,0.00759046052631579,6342.35095421046,425.33996459941,17,NA,17,154,0.652542372881356,7,"38"
1,16,33,0.469,32.02,31.375,0.0146470955652717,31.375,0.4595526233604,"2024-03-08","2023-10-18","2023-10-18",3,-33.63916,150.36966,"34-7",142,-0.337664750379103,0.00323628608000281,-2.48995309476216,215.752405333521,"Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",3,"Wildfire","2022-08-05",36389.88,34.6938775510204,6.68235294117647,70,44,0,104.376,44,33,26,7,1.50350140056022,3.5055,0.1275,46.7,4.0009,0.03869,1,5.35,0.0697298563397876,0.00787008119925047,0.0535915053091818,"Long_Low",7.1,48.1413645619758,3.22852621155638,6.69884692451072,1.073,14.9112509570638,1.824,0.00759046052631579,6342.35095421046,425.33996459941,17,NA,17,154,0.652542372881356,7,"27"
1,33,29.75,3.57,28.69,31.375,0.124433600557686,31.375,3.90410421749739,"2024-03-08","2023-10-18","2023-10-18",3,-33.63916,150.36966,"34-7",142,0.591521402355289,0.0274936916725168,-1.56076694202777,1832.91277816779,"Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",3,"Wildfire","2022-08-05",36389.88,34.6938775510204,6.68235294117647,70,44,0,104.376,44,33,26,7,1.50350140056022,3.5055,0.1275,46.7,4.0009,0.03869,1,5.18,0.446314046706169,0.00878354827466016,0.00376437783199721,"Long_Low",7.1,48.1413645619758,3.22852621155638,6.69884692451072,1.073,14.9112509570638,1.824,0.00759046052631579,6342.35095421046,425.33996459941,17,NA,17,154,0.652542372881356,7,"13"
1,47,14.56,0.157,13.58,31.375,0.0115611192930781,31.375,0.362730117820324,"2024-03-08","2023-10-18","2023-10-18",3,-33.63916,150.36966,"34-7",142,-0.440416383046155,0.0025544374494389,-2.59270472742921,170.295829962593,"Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",3,"Wildfire","2022-08-05",36389.88,34.6938775510204,6.68235294117647,70,44,0,104.376,44,33,26,7,1.50350140056022,3.5055,0.1275,46.7,4.0009,0.03869,1,4.79,0.51389911634757,0.0185567010309278,0.0462812960235641,"Long_Low",7.1,48.1413645619758,3.22852621155638,6.69884692451072,1.073,14.9112509570638,1.824,0.00759046052631579,6342.35095421046,425.33996459941,17,NA,17,154,0.652542372881356,7,"37"
2,3,28.814,4.655,27.869,28.324,0.167031468656931,28.324,4.7309993182389,"2024-03-08","2023-10-18","2023-10-18",3,-33.63916,150.36966,"34-7",142,0.674952885464523,0.0333168966073162,-1.47733545891853,2221.12644048775,"Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",3,"Wildfire","2022-08-05",36389.88,30.6122448979592,8.13333333333333,60,32,2,82.88,32,33,23,10,0.05,3.924,0.2135,56.3,3.7072,0.06081,1,5.22,0.00904230507014963,0.00939215615917327,0.0290107287667301,"Long_Low",7.2,45.4854156928949,3.65168410158543,6.6278990017616,1.703,12.4560105495288,1.975,0.0249303797468354,1824.49750684879,146.475269878268,17,NA,17,142,0.609442060085837,7,"77"
2,16,27.773,2.049,26.79,28.324,0.0764837625979843,28.324,2.16632609182531,"2024-03-08","2023-10-18","2023-10-18",3,-33.63916,150.36966,"34-7",142,0.335723830507649,0.0152558175480655,-1.81656451387541,1017.05450320437,"Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",3,"Wildfire","2022-08-05",36389.88,30.6122448979592,8.13333333333333,60,32,2,82.88,32,33,23,10,0.05,3.924,0.2135,56.3,3.7072,0.06081,1,5.37,0.0354423292273236,0.0129619260918253,0.00403135498320269,"Long_Low",7.2,45.4854156928949,3.65168410158543,6.6278990017616,1.703,12.4560105495288,1.975,0.0249303797468354,1824.49750684879,146.475269878268,17,NA,17,142,0.609442060085837,7,"52"
2,33,28.885,0.279,27.847,28.324,0.0100190325708335,28.324,0.283779078536288,"2024-03-08","2023-10-18","2023-10-18",3,-33.63916,150.36966,"34-7",142,-0.547019625831218,0.00199844421504428,-2.69930797021427,133.229614336285,"Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",3,"Wildfire","2022-08-05",36389.88,30.6122448979592,8.13333333333333,60,32,2,82.88,32,33,23,10,0.05,3.924,0.2135,56.3,3.7072,0.06081,1,5.25,0.141828563220455,0.0807178511150214,0.0314576076417568,"Long_Low",7.2,45.4854156928949,3.65168410158543,6.6278990017616,1.703,12.4560105495288,1.975,0.0249303797468354,1824.49750684879,146.475269878268,17,NA,17,142,0.609442060085837,7,"44"
2,47,27.824,2.868,26.834,28.324,0.106879332190505,28.324,3.02725020496385,"2024-03-08","2023-10-18","2023-10-18",3,-33.63916,150.36966,"34-7",142,0.481048317271237,0.0213186634152384,-1.67124002711182,1421.24422768256,"Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",3,"Wildfire","2022-08-05",36389.88,30.6122448979592,8.13333333333333,60,32,2,82.88,32,33,23,10,0.05,3.924,0.2135,56.3,3.7072,0.06081,1,5.45,0.830383096072147,0.0967615711410897,0.11118357307893,"Long_Low",7.2,45.4854156928949,3.65168410158543,6.6278990017616,1.703,12.4560105495288,1.975,0.0249303797468354,1824.49750684879,146.475269878268,17,NA,17,142,0.609442060085837,7,"79"
1,3,26.833,1.096,25.801,27.714,0.0424789736831906,27.714,1.17726227665594,"2024-03-08","2023-10-18","2023-10-18",4,-33.65039,150.32069,"26-8",142,0.0708732280220718,0.00829057941307003,-2.08141511636098,552.705294204668,"Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",2,"Wildfire","2022-07-27",50661.65,41.8367346938776,10.2682926829268,52,40,0,92.46,36,34,1,0,1.68977591036415,5.585,0.218,81,2.9789,0.04442,1,5.35,0.00999961241812333,0.019621332506492,0.0441261966590442,"Long_Low",8.1,45.300884198895,2.59118955801105,6.23499475138121,0.905,17.4826592901475,1.892,0.0399378964059197,1134.28318152932,64.8804717122502,17,NA,17,118,0.715151515151515,8,"65"
1,16,14.398,0.415,13.336,27.714,0.031118776244751,27.714,0.862425764847031,"2024-03-08","2023-10-18","2023-10-18",4,-33.65039,150.32069,"26-8",142,-0.0642782774776658,0.00607342087920444,-2.21656662186072,404.894725280296,"Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",2,"Wildfire","2022-07-27",50661.65,41.8367346938776,10.2682926829268,52,40,0,92.46,36,34,1,0,1.68977591036415,5.585,0.218,81,2.9789,0.04442,1,5.49,1.76792141571686,0.0649557588482303,0.0611877624475105,"Long_Low",8.1,45.300884198895,2.59118955801105,6.23499475138121,0.905,17.4826592901475,1.892,0.0399378964059197,1134.28318152932,64.8804717122502,17,NA,17,118,0.715151515151515,8,"70"
1,33,28.749,1.685,27.722,27.714,0.0607820503571171,27.714,1.68451374359714,"2024-03-08","2023-10-18","2023-10-18",4,-33.65039,150.32069,"26-8",142,0.226474558649909,0.0118627728422334,-1.92581378573315,790.85152281556,"Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",2,"Wildfire","2022-07-27",50661.65,41.8367346938776,10.2682926829268,52,40,0,92.46,36,34,1,0,1.68977591036415,5.585,0.218,81,2.9789,0.04442,1,5.48,0.00909025322848279,0.00909025322848279,0.0315994516990116,"Long_Low",8.1,45.300884198895,2.59118955801105,6.23499475138121,0.905,17.4826592901475,1.892,0.0399378964059197,1134.28318152932,64.8804717122502,17,NA,17,118,0.715151515151515,8,"55"
1,47,27.56,1.813,26.529,27.714,0.0683403068340307,27.714,1.89398326359833,"2024-03-08","2023-10-18","2023-10-18",4,-33.65039,150.32069,"26-8",142,0.277376136990904,0.0133379103070305,-1.87491220739215,889.194020468698,"Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",2,"Wildfire","2022-07-27",50661.65,41.8367346938776,10.2682926829268,52,40,0,92.46,36,34,1,0,1.68977591036415,5.585,0.218,81,2.9789,0.04442,1,5.51,0.00949903878774172,0.00949903878774172,0.056768065136266,"Long_Low",8.1,45.300884198895,2.59118955801105,6.23499475138121,0.905,17.4826592901475,1.892,0.0399378964059197,1134.28318152932,64.8804717122502,17,NA,17,118,0.715151515151515,8,"63"
2,3,14.201,0.276,13.124,28.42025,0.0210301737275221,28.42025,0.59768279487961,"2024-03-08","2023-10-18","2023-10-18",4,-33.65039,150.32069,"26-8",142,-0.223529245749708,0.00420903376675782,-2.37581759013276,280.602251117188,"Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",2,"Wildfire","2022-07-27",50661.65,36.734693877551,13.8472222222222,44,42,0,71.66,36,33,0,0,1.48459383753501,8.314,0.1035,85.3,6.9823,0.09722,1,5.25,0.401573453215483,0.0192014629686071,0.0633191100274307,"Long_Low",8.2,46.1368429946524,4.71745721925134,6.73782727272727,0.935,9.78002361237615,NA,NA,NA,NA,17,NA,17,150,0.769230769230769,8,"64"
2,16,28.0895,0.92,27.065,28.42025,0.0339922409015333,28.42025,0.966067984481803,"2024-03-08","2023-10-18","2023-10-18",4,-33.65039,150.32069,"26-8",142,-0.0149923101824407,0.00680329566536481,-2.1672806545655,453.553044357654,"Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",2,"Wildfire","2022-07-27",50661.65,36.734693877551,13.8472222222222,44,42,0,71.66,36,33,0,0,1.48459383753501,8.314,0.1035,85.3,6.9823,0.09722,1,5.21,0.480703861075189,0.0086181415111768,0.0284869757990024,"Long_Low",8.2,46.1368429946524,4.71745721925134,6.73782727272727,0.935,9.78002361237615,NA,NA,NA,NA,17,NA,17,150,0.769230769230769,8,"56"
2,33,28.751,0.928,27.72,28.42025,0.0334776334776335,28.42025,0.951442712842713,"2024-03-08","2023-10-18","2023-10-18",4,-33.65039,150.32069,"26-8",142,-0.0216173558218229,0.00670030079466699,-2.17390570020488,446.686719644466,"Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",2,"Wildfire","2022-07-27",50661.65,36.734693877551,13.8472222222222,44,42,0,71.66,36,33,0,0,1.48459383753501,8.314,0.1035,85.3,6.9823,0.09722,1,5.17,0.00909090909090909,0.00227272727272727,0.0313311688311688,"Long_Low",8.2,46.1368429946524,4.71745721925134,6.73782727272727,0.935,9.78002361237615,NA,NA,NA,NA,17,NA,17,150,0.769230769230769,8,"62"
2,47,14.217,0.095,13.261,28.42025,0.00716386396199382,28.42025,0.203598804765855,"2024-03-08","2023-10-18","2023-10-18",4,-33.65039,150.32069,"26-8",142,-0.691224775869255,0.00143379439975954,-2.84351312025231,95.5862933173027,"Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",2,"Wildfire","2022-07-27",50661.65,36.734693877551,13.8472222222222,44,42,0,71.66,36,33,0,0,1.48459383753501,8.314,0.1035,85.3,6.9823,0.09722,1,5.25,0.366431641655984,0.0190030917728678,0.0530502978659226,"Long_Low",8.2,46.1368429946524,4.71745721925134,6.73782727272727,0.935,9.78002361237615,NA,NA,NA,NA,17,NA,17,150,0.769230769230769,8,"71"
1,3,28.38,0.428,27.34,28.12,0.0156547183613753,28.12,0.440210680321873,"2024-03-06","2023-10-18","2023-10-18",2,-33.48607,150.40622,"10-56",140,-0.356339424870845,0.00314436200229909,-2.50246746054908,209.624133486606,"Sydney Montane DSF","SM","Short",2019,2013,2005,"High",4,"Wildfire","2022-08-16",34679.44,25.5102040816327,9.04,60,30,6,104.8,28,17,17,0,2.83613445378151,5.8655,0.176,167.7,8.2219,0.11274,1,5.17,0.198856986100951,0.00921726408193124,0.0287490855888808,"Short_High",10.1,44.9555159462617,3.61189813084112,6.65191325934579,0.856,12.4465071598774,NA,NA,NA,NA,6,8,7,159,0.726027397260274,10,"43"
1,16,28.12,0.899,27.11,28.12,0.033161195130948,28.12,0.932492807082258,"2024-03-06","2023-10-18","2023-10-18",2,-33.48607,150.40622,"10-56",140,-0.0303545094994703,0.00666066290773041,-2.17648254517771,444.044193848694,"Sydney Montane DSF","SM","Short",2019,2013,2005,"High",4,"Wildfire","2022-08-16",34679.44,25.5102040816327,9.04,60,30,6,104.8,28,17,17,0,2.83613445378151,5.8655,0.176,167.7,8.2219,0.11274,1,5.27,0.578559572113611,0.0778218369605312,0.0378458133530063,"Short_High",10.1,44.9555159462617,3.61189813084112,6.65191325934579,0.856,12.4465071598774,NA,NA,NA,NA,6,8,7,159,0.726027397260274,10,"40"
