"","Tube_ID","Site","Transect","Location","harvest_date","Res_nute_sub_w","Res_remain_w","notes","roots_in_sample","Damage","Missing","Before_root.hyphae","dirt_in_sample","mass_loss"
"1","1","49","2","47",2024-03-06,0.98,12.34,"NA | NA","NA | NA","NA | NA","NA | y","y",NA,NA
"2","10","29","2","33",2024-03-05,1,12.98,"NA | NA","y | NA","NA | NA","NA | y","y",NA,NA
"3","11","29","2","16",2024-03-05,1,14.12,"added in 1g nut sub to help with down stream. This was when I was processing reps seperatly","NA","minor","NA","y",NA,NA
"4","12","29","1","3",2024-03-05,1.04,27.07,"NA | NA","y | NA","NA | NA","NA | NA","Y",NA,NA
"5","13","7","1","33",2024-03-08,1.06,28.69,"NA | NA","NA | NA","NA | NA","NA | NA","y","y",NA
"6","14","31","2","33",2024-03-06,1,27.24,"NA | NA","NA | NA","NA | NA","NA | NA","y",NA,NA
"7","15","34","2","16",2024-03-08,1,25.95,"NA | NA","y | y","NA | minor","NA | NA","y",NA,"y"
"8","16","49","2","3",2024-03-06,1.01,27.59,"NA | NA","NA | NA","minor | NA","NA | NA","y",NA,"y"
"9","17","56","1","47",2024-03-06,1.01,26.51,"NA | NA","NA | NA","NA | NA","NA | NA","y",NA,"y"
"10","18","49","1","16",2024-03-06,1.02,27.44,"NA | NA","NA | NA","NA | NA","NA | NA","y",NA,"y"
"11","19","34","1","16",2024-03-08,0.99,32.5,"NA | NA","NA | NA","NA | NA","NA | NA","y",NA,"y"
"12","2","56","1","3",2024-03-06,1,27.23,"NA | *presumed to be both bags A and B","NA | NA","NA | NA","NA | NA","y",NA,NA
"13","20","34","1","47",2024-03-08,1.04,26.53,"NA | NA","NA | NA","NA | NA","NA | NA","y",NA,"y"
"14","21","34","1","33",2024-03-08,0.98,26.32,"NA | NA","NA | NA","NA | NA","NA | NA","y",NA,"y"
"15","22","31","1","3",2024-03-06,0.99,28.13,"NA | NA","NA | NA","NA | NA","NA | NA","y",NA,"y"
"16","23","31","1","47",2024-03-06,1,26.28,"NA | NA","NA | y","NA | NA","NA | NA","y",NA,"y"
"17","24","34","2","33",2024-03-08,0.99,26.04,"NA | NA","NA | NA","NA | NA","NA | NA","y",NA,NA
"18","25","34","1","3",2024-03-08,1.01,27.35,"NA | NA","NA | NA","minor | NA","NA | NA","y",NA,"y"
"19","26","31","1","16",2024-03-06,1.01,26.94,"NA | NA","NA | NA","NA | NA","NA | NA","y",NA,"y"
"20","27","7","1","16",2024-03-08,0.98,32.02,"NA | NA","NA | NA","NA | minor","NA | NA","y",NA,"y"
"21","28","29","1","16",2024-03-05,0.99,26.11,"NA | NA","NA | NA","minor | minor","NA | NA","y","y",NA
"22","29","31","2","3",2024-03-06,1.01,26.72,"NA | NA","NA | NA","NA | NA","NA | NA","y",NA,NA
"23","3","49","1","3",2024-03-06,1.01,15.44,"*recorded location as 5, but changed to 3 | NA","y | NA","NA | NA","NA | y","y","y",NA
