"OTU","kingdom","phylum","class","order","family","genus","species","guild","mean_gs"
"ITSall_OTUb_8077","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_periconioides","Ericoid Mycorrhizal","46.43"
"ITSall_OTUa_5969","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_echinulatum","Ericoid Mycorrhizal","46.43"
"ITSall_OTUa_2413","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUa_13","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"Ectomycorrhizal","57.595"
"ITSall_OTUa_2741","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUj_8414","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUc_1349","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_griseum","Ericoid Mycorrhizal","46.43"
"ITSall_OTUj_28185","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUa_151","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUa_1173","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_chlamydosporicum","Ericoid Mycorrhizal","46.43"
"ITSall_OTUd_1875","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_1017","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUj_19960","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUd_3001","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUa_9472","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUj_14242","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUa_6956","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUb_427","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"Ectomycorrhizal","57.595"
"ITSall_OTUj_18564","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUb_49","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"Ectomycorrhizal","57.595"
"ITSall_OTUb_2441","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius_chalybeus","Ectomycorrhizal","62.89"
"ITSall_OTUj_8801","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUj_1415","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUg_193","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius_caesibulga","Ectomycorrhizal","62.89"
"ITSall_OTUj_14066","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUa_255","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","Cenococcum",NA,"Ectomycorrhizal","186.04"
"ITSall_OTUj_2249","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUj_215","Fungi","Basidiomycota","Agaricomycetes","Gomphales","Gomphaceae","Austrogautieria",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_12319","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUj_12430","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUa_3114","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUj_8538","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
