Site,Transect,Location,Tube_ID,Fire.Interval,Ortho_P_mg_kg,pH,perc_myco_host_freq,AM_host,EcM_host,Biomass_day,ratio_myco_nonmyco,myco_reads
7,1,1,F1,Long,0.976285939,5.056666667,0.646551724,0.563559322,0.06779661,0.004616316,1,7870
7,1,2,F2,Long,0.452398459,4.921666667,0.646551724,0.563559322,0.06779661,0.006609526,1,232
7,2,1,F3,Long,2.273365385,4.988333333,0.607758621,0.480686695,0.107296137,0.010653455,1,1388
7,2,2,F4,Long,0.43129029,5.013333333,0.607758621,0.480686695,0.107296137,0.005239436,1,1321
8,1,1,E1,Long,0.470334081,5.16,0.715151515,0.551515152,0.145454545,0.009116914,1,23711
8,1,2,E2,Long,0.452063107,5.001666667,0.715151515,0.551515152,0.145454545,0.003443353,1,2803
8,2,1,E3,Long,0.455667476,4.985,0.769230769,0.569230769,0.117948718,0.004470603,1,14167
8,2,2,E4,Long,0.537794118,4.871666667,0.769230769,0.569230769,0.117948718,0.004862677,1,74781
10,1,1,C1,Short,0.678344174,5.275,0.724770642,0.643835616,0.0456621,0.0051766,0.998481492,55891
10,1,2,C2,Short,0.26535801,5.343333333,0.724770642,0.643835616,0.0456621,0.009238166,1,11436
10,2,1,C3,Short,0.61875,4.958333333,0.740932642,0.606217617,0.082901554,0.010839895,1,20196
10,2,2,C4,Short,3.328963687,5.255,0.740932642,0.606217617,0.082901554,0.004600635,1,991
12,1,1,B1,Long,3.961363389,5.33,0.724279835,0.649193548,0.040322581,0.004180595,1,379
12,1,2,B2,Long,0.750273653,5.258333333,0.724279835,0.649193548,0.040322581,0.004987144,0.992501704,1456
12,2,1,B3,Long,0.661863777,5.015,0.786885246,0.704918033,0.028688525,0.004807808,1,62
12,2,2,B4,Long,0.373104391,5.213333333,0.786885246,0.704918033,0.028688525,0.005411248,1,61
26,1,1,D1,Short,1.685735294,5.65,0.858369099,0.768240343,0.08583691,0.005601757,1,151
26,1,2,D2,Short,3.718093322,5.393333333,0.858369099,0.768240343,0.08583691,0.00570585,1,926
26,2,1,D3,Short,0.628591873,5.373333333,0.734693878,0.646464646,0.055555556,0.004757148,0.992176922,6595
26,2,2,D4,Short,0.291914858,5.255,0.734693878,0.646464646,0.055555556,0.010303094,0.839285714,188
34,1,1,A1,Short,1.172104688,4.29,0.701030928,0.642857143,0.030612245,0.005578852,1,134672
34,1,2,A2,Short,0.500271099,4.298333333,0.701030928,0.642857143,0.030612245,0.003058134,1,3100
34,2,1,A3,Short,1.151614011,4.863333333,0.80733945,0.733944954,0.027522936,0.003352026,1,486
34,2,2,A4,Short,0.560866836,4.456666667,0.80733945,0.733944954,0.027522936,0.003175266,1,6883
