barcode	sample	n_R1	n_R2	n_merged	n_passed	n_assigned_to_fungi	n_assigned_to_fungi_and_phylum	n_after_removing_rare_otus
SMM01	NA	70763	70763	5307	4747	4439	4431	4031
SMM02	NA	165943	165943	152964	129582	128347	79953	78976
SMM03	NA	116416	116416	103003	85012	84318	84095	83433
SMM04	NA	269829	269829	245648	227868	219816	219590	218721
SMM05	NA	218133	218133	193632	175806	172283	166764	165899
SMM06	NA	75064	75064	66003	60835	58452	57543	57351
SMM07	NA	13145	13145	8062	5909	5570	5402	5256
SMM08	NA	78015	78015	19638	17906	14206	13967	13453
SMM09	NA	161154	161154	144616	130595	119486	87244	86921
SMM10	NA	94262	94262	7004	6053	4640	4595	4274
SMM10T2	NA	39823	39823	27229	24473	23244	23183	22993
SMM11	NA	197089	197089	165851	151617	129302	125602	125152
SMM11T1	NA	180896	180896	141271	128842	93092	92502	91934
SMM12	NA	46508	46508	38846	35121	31915	31360	31129
SMM13	NA	77600	77600	21970	16871	15995	15208	14590
SMM14	NA	167942	167942	150995	135343	130827	130201	129375
SMM15	NA	182998	182998	170170	147383	146877	146843	146259
SMM16	NA	152221	152221	143566	50876	48033	48013	47421
SMM17	NA	125721	125721	110860	100804	100096	97192	96551
SMM18	NA	144855	144855	127722	113481	112656	112543	111995
SMM19	NA	107084	107084	90092	76821	74734	72138	71488
SMM20	NA	91135	91135	68065	60359	33743	32648	32328
SMM21	NA	132136	132136	74938	67043	55983	53701	53074
SMM22	NA	84544	84544	36148	31624	29781	17550	16656
SMM23	NA	94848	94848	72787	65098	47383	47170	46288
SMM24	NA	205975	205975	151561	123109	121957	121614	120905
SMM25	NA	125603	125603	99574	81278	80392	80298	79528
SMM26	NA	55980	55980	12187	11163	10084	9923	9168
SMM26T1A2	NA	108643	108643	24046	19197	17137	16817	15901
SMM26T2	NA	67866	67866	53031	47937	46121	44767	44300
SMM27	NA	127602	127602	67750	60210	53319	51958	51213
SMM28	NA	169489	169489	144946	128131	103163	102269	102066
SMM29	NA	131728	131728	113510	104539	100580	100540	99889
SMM31	NA	3123	3123	984	405	283	281	188
SMM31T1	NA	115870	115870	31659	28185	24197	19679	19142
SMM31T2	NA	106798	106798	88602	76301	34023	33865	32858
SMM32	NA	204780	204780	189845	164405	150955	150890	150096
SMM33	NA	102781	102781	82086	68942	17304	17006	16279
SMM34	NA	117777	117777	107253	89869	89315	50154	49233
SMM34T1	NA	186183	186183	161833	134232	132547	131027	130044
SMM34T2	NA	222113	222113	205811	174543	167885	165068	164854
SMM35	NA	102551	102551	92345	78131	77635	77613	76873
SMM36	NA	158178	158178	146071	128758	110959	109158	108676
SMM38	NA	179675	179675	162586	149084	46981	46327	46161
SMM39	NA	130980	130980	120267	72235	71197	71156	70377
SMM40	NA	149241	149241	136381	125334	120800	120474	119854
SMM41	NA	114996	114996	58845	51422	49736	49258	48698
SMM42	NA	204438	204438	183354	164594	149098	147126	146359
SMM43	NA	178543	178543	156239	138855	104684	104053	103185
SMM44	NA	142651	142651	132123	120343	60375	53245	52548
SMM45	NA	126912	126912	116271	90712	84837	3634	3366
SMM46	NA	99133	99133	30910	26785	22172	18666	18224
SMM47	NA	150421	150421	12271	11138	9797	9644	9398
SMM48	NA	96851	96851	2787	2454	1880	1863	1673
SMM49	NA	183169	183169	170747	139208	138141	138093	137558
SMM49T2	NA	11030	11030	4470	2971	2120	2118	2028
SMM50	NA	191899	191899	164361	145798	137109	136834	136206
SMM51	NA	48715	48715	15634	14204	12818	12677	12045
SMM52	NA	79043	79043	8929	8000	7712	7522	7089
SMM53	NA	54863	54863	13569	10629	9593	9375	8906
SMM54	NA	128616	128616	106442	84813	31781	12971	12423
SMM55	NA	142515	142515	54590	41600	41388	5347	5065
SMM56	NA	64094	64094	55741	43158	41973	41918	41490
SMM56T1	NA	206427	206427	185444	152712	151848	83885	82723
SMM57	NA	105729	105729	99205	80139	78339	7131	6572
SMM58	NA	126724	126724	114763	101355	100780	100583	99962
SMM59	NA	143442	143442	124400	110289	94976	93566	92484
SMM5T1	NA	180863	180863	133001	107616	106326	106214	105714
SMM60	NA	115244	115244	105244	84939	84734	30144	29509
SMM61	NA	210721	210721	192889	175994	175233	174790	174551
SMM62	NA	114433	114433	104900	87231	87012	86951	86424
SMM63	NA	105522	105522	97442	79908	79353	79296	78531
SMM64	NA	160519	160519	148651	134585	133413	126412	126088
SMM65	NA	247199	247199	224579	199951	194103	193329	192776
SMM66	NA	119385	119385	28891	25759	24148	23250	22757
SMM67	NA	143063	143063	132425	117165	98572	77340	77009
SMM68	NA	173845	173845	159643	141512	125397	102969	102567
SMM69	NA	93345	93345	85699	40909	40224	39949	39305
SMM70	NA	143594	143594	130668	118286	118089	118057	117983
SMM72	NA	193982	193982	175922	158121	148809	147864	147527
SMM73	NA	169277	169277	111491	85607	71326	70294	69765
SMM74	NA	123709	123709	39880	33876	27376	27049	26419
SMM75	NA	189585	189585	151907	114441	109581	109131	108023
SMM76	NA	163224	163224	146834	131745	112596	109122	107871
SMM77	NA	5628	5628	724	283	275	71	53
SMM78	NA	178759	178759	162598	149934	148832	148237	148059
SMM79	NA	182685	182685	154822	136718	91302	86457	85849
SMM7T1	NA	58682	58682	34528	30954	29925	27506	27284
SMM7T2	NA	137680	137680	86851	79050	76847	76137	75840
SMM80	NA	219435	219435	202265	179254	178332	178193	177920
SMM81	NA	268860	268860	250626	227991	137954	137703	136895
SMM82	NA	131683	131683	115876	107282	99516	99269	98644
SMM83	NA	133726	133726	10714	9304	8539	8432	8163
SMM84	NA	79934	79934	67880	62232	80692	80618	80156
SMM85	NA	124661	124661	113281	94938	84715	84256	83549
SMM86	NA	176590	176590	160048	147366	143602	143439	143034
SMM87	NA	181432	181432	163632	149231	64112	63649	63133
SMM88	NA	196935	196935	132826	105987	100818	100724	100098
SMM89	NA	60089	60089	54633	39300	39086	39002	38628
SMM8T1	NA	145273	145273	122598	100814	100250	85093	84817
SMM90	NA	97611	97611	62338	56423	53459	53417	52938
SMM91	NA	111830	111830	13343	11163	10671	10537	9937
SMM92	NA	199281	199281	182428	167597	163055	162186	161500
SMM94	NA	139675	139675	126326	108329	107876	107500	107361
SMM95A96	NA	103871	103871	93754	79150	115086	114698	113074
