barcode	sample	n_reads	n_resampled_reads	obs_richness_fungi	chao1_richness_fungi	obs_shannon_fungi	obs_richness_fungi_ArbuscularMycorrhizal	obs_richness_fungi_PlantPathogen	obs_richness_fungi_WoodSaprotroph	obs_richness_fungi_Ectomycorrhizal	obs_richness_fungi_OrchidMycorrhizal	chao1_richness_fungi_ArbuscularMycorrhizal	chao1_richness_fungi_PlantPathogen	chao1_richness_fungi_WoodSaprotroph	chao1_richness_fungi_Ectomycorrhizal	chao1_richness_fungi_OrchidMycorrhizal	obs_shannon_fungi_ArbuscularMycorrhizal	obs_shannon_fungi_PlantPathogen	obs_shannon_fungi_WoodSaprotroph	obs_shannon_fungi_Ectomycorrhizal	obs_shannon_fungi_OrchidMycorrhizal	relabund_fungi_ArbuscularMycorrhizal	relabund_fungi_PlantPathogen	relabund_fungi_WoodSaprotroph	relabund_fungi_Ectomycorrhizal	relabund_fungi_OrchidMycorrhizal
SMM01	NA	4031	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMM02	NA	78976	5065	117	149	2.3999613521126473	1	6	0	7	0	2	8	0	9	0	0	1.5367224694372192	0	1.3725817872139756	0	6.584278768233387e-4	0.005153464343598055	0	0.06961608589951378	0
SMM03	NA	83433	5065	59	77	0.5572189411856996	0	1	2	2	0	0	2	2	2	0	0	0	0.6931471805599453	0.24493002679463532	0	0	4.7942660577948774e-4	6.592115829467956e-4	0.008006424316517446	0
SMM04	NA	218721	5065	114	191	1.2912279278088794	1	3	2	4	0	2	6	2	7	0	0	0.9502705392332347	0.45969301996850176	0.12091269978695243	0	3.017542897115503e-4	0.0015087714485577516	0.02448781781356157	0.1912664993301969	0
SMM05	NA	165899	5065	107	168	2.068209681210373	10	2	3	3	0	13	5	3	4	0	1.6347969342997808	0.6931471805599453	0.8237197315118312	0.7566645555584257	0	0.01225444396892085	6.811373184889602e-4	0.0029114099542492723	0.012700498496072911	0
SMM06	NA	57351	5065	145	149	3.5621082018877743	5	3	1	3	0	5	3	1	3	0	1.2908333665126888	1.0308365597725047	0	1.0361987848192837	0	0.06538682847727154	0.007445380202611986	0.02019145263378145	0.001115935206012101	0
SMM07	NA	5256	5065	43	43	2.708116581747619	1	1	2	1	0	1	1	2	1	0	0	0	0.421412422428133	0	0	0.007990867579908675	0.10616438356164383	0.013508371385083713	0.003995433789954338	0
SMM08	NA	13453	5065	102	102	3.5057235000926448	0	5	1	1	0	0	5	1	1	0	0	1.1786939849034013	0	0	0	0	0.11989890730692039	0.016501895487995244	0.01449490819891474	0
SMM09	NA	86921	5065	193	221	3.46568327976666	1	6	2	1	0	1	7	2	1	0	0	1.5021360860953803	0.06335477530377637	0	0	2.531033927359326e-4	0.003186801808538788	0.013402975115334614	0.05070121144487523	0
SMM10	NA	4274	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
