Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil,,,,
STANDARD 1,,Ammonia 2.0,0.0907,mg N/L,0.090693,Tue Jul 09 13:02:18 2024,1,1,,,,
STANDARD 1,,Nitrate 2,0.0081,mg N/L,0.008106,Wed Jul 10 15:13:50 2024,1,1,,,,
STANDARD 90,,Ammonia 2.0,0.1192,mg N/L,0.119246,Tue Jul 09 13:04:18 2024,1,1,,,,
STANDARD 90,,Nitrate 2,0.0151,mg N/L,0.015101,Wed Jul 10 15:15:52 2024,1,1,,,,
STANDARD 91,,Ammonia 2.0,0.1504,mg N/L,0.150351,Tue Jul 09 13:06:18 2024,1,1,,,,
STANDARD 91,,Nitrate 2,0.0254,mg N/L,0.025391,Wed Jul 10 15:16:47 2024,1,1,,,,
STANDARD 92,,Ammonia 2.0,0.1983,mg N/L,0.198287,Tue Jul 09 13:08:16 2024,1,1,,,,
STANDARD 92,,Nitrate 2,0.0433,mg N/L,0.043303,Wed Jul 10 15:17:42 2024,1,1,,,,
STANDARD 93,,Ammonia 2.0,0.3447,mg N/L,0.344681,Tue Jul 09 13:10:13 2024,1,1,,,,
STANDARD 93,,Nitrate 2,0.0854,mg N/L,0.085387,Wed Jul 10 15:18:36 2024,1,1,,,,
STANDARD 94,,Ammonia 2.0,0.5804,mg N/L,0.580403,Tue Jul 09 13:12:11 2024,1,1,,,,
STANDARD 94,,Nitrate 2,0.1714,mg N/L,0.171436,Wed Jul 10 15:19:31 2024,1,1,,,,
STANDARD 95,,Ammonia 2.0,0.9731,mg N/L,0.973061,Tue Jul 09 13:14:09 2024,1,1,,,,
STANDARD 95,,Nitrate 2,0.2955,mg N/L,0.295517,Wed Jul 10 15:20:25 2024,1,1,,,,
STANDARD 0,,Ammonia 2.0,0.1018,mg N/L,0.101751,Tue Jul 09 13:16:07 2024,1,1,,,,
STANDARD 0,,Nitrate 2,0.0075,mg N/L,0.00754,Wed Jul 10 15:21:20 2024,1,1,,,,
C C V,,Ammonia 2.0,1.1269,mg N/L,0.606303,Tue Jul 09 13:18:05 2024,1,1,,,,
C C V,,Nitrate 2,0.9401,mg N/L,0.148842,Wed Jul 10 15:22:14 2024,1,1,,,,
C C B ,,Ammonia 2.0,0.0281,mg N/L,0.121271,Tue Jul 09 13:20:03 2024,1,1,,,,
C C B ,,Nitrate 2,-0.0354,mg N/L,0.007305,Wed Jul 10 15:23:09 2024,1,1,,,,
11/01/2003,11-1-3,Ammonia 2.0,-0.2589,mg N/L,0.086018,Wed Jul 10 10:43:53 2024,1,5,,,,
11/01/2003,11-1-3,Nitrate 2,0.0209,mg N/L,0.01548,Tue Jul 09 17:03:29 2024,1,1,,,,
7/02/2003,7-2-3,Ammonia 2.0,-0.0195,mg N/L,0.107153,Wed Jul 10 10:45:54 2024,1,5,,,,
7/02/2003,7-2-3,Nitrate 2,0.0349,mg N/L,0.01751,Tue Jul 09 17:05:33 2024,1,1,,,,
11/01/1947,11-1-47,Ammonia 2.0,0.0096,mg N/L,0.109721,Wed Jul 10 10:47:54 2024,1,5,,,,
11/01/1947,11-1-47,Nitrate 2,-0.0315,mg N/L,0.007871,Tue Jul 09 17:07:35 2024,1,1,,,,
11/02/2003,11-2-3,Ammonia 2.0,0.1303,mg N/L,0.120376,Wed Jul 10 10:49:54 2024,1,5,,,,
11/02/2003,11-2-3,Nitrate 2,-0.0456,mg N/L,0.005832,Tue Jul 09 17:09:37 2024,1,1,,,,
5/02/2003,5-2-3,Ammonia 2.0,2.4376,mg N/L,0.324082,Wed Jul 10 10:51:56 2024,1,5,,,,
5/02/2003,5-2-3,Nitrate 2,0.2397,mg N/L,0.047218,Tue Jul 09 17:11:39 2024,1,1,,,,
