Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,Ammonia 2.0, 0.9541,mg N/L,0.478260,Fri Jul 12 12:23:24 2024,1,1
C C V,,Nitrate 2, 1.0303,mg N/L,0.215754,Fri Jul 12 14:30:18 2024,1,1
C C B ,,Ammonia 2.0,-0.0262,mg N/L,0.028326,Fri Jul 12 12:25:22 2024,1,1
C C B ,,Nitrate 2,-0.0705,mg N/L,0.015215,Fri Jul 12 14:32:20 2024,1,1
NIRAJ 100X,,Ammonia 2.0, 0.0247,mg N/L,0.046030,Fri Jul 12 17:12:50 2024,1,2.00
NIRAJ 100X,,Nitrate 2, 4.9042,mg N/L,0.921484,Fri Jul 12 16:51:20 2024,1,1
34-1-47,,Ammonia 2.0, 0.3052,mg N/L,0.068378,Fri Jul 12 12:29:24 2024,1,5.00
34-1-47,,Nitrate 2,-0.0420,mg N/L,0.020408,Fri Jul 12 14:36:27 2024,1,1
CTRL 2,,Ammonia 2.0, 3.4093,mg N/L,1.605137,Fri Jul 12 16:43:50 2024,1,1
CTRL 2,,Nitrate 2,-0.0584,mg N/L,0.017411,Fri Jul 12 14:38:30 2024,1,1
7-1-33,,Ammonia 2.0, 1.7073,mg N/L,0.197089,Fri Jul 12 12:33:26 2024,1,5.00
7-1-33,,Nitrate 2,-0.0768,mg N/L,0.014059,Fri Jul 12 14:40:32 2024,1,1
49-1-16,,Ammonia 2.0, 0.5776,mg N/L,0.093386,Fri Jul 12 12:35:26 2024,1,5.00
49-1-16,,Nitrate 2, 0.1754,mg N/L,0.060011,Fri Jul 12 14:42:34 2024,1,1
31-2-3,,Ammonia 2.0, 0.5127,mg N/L,0.087429,Fri Jul 12 12:37:28 2024,1,5.00
31-2-3,,Nitrate 2,-0.0705,mg N/L,0.015201,Fri Jul 12 14:44:36 2024,1,1
MYSTERY UNK,,Ammonia 2.0, 2.6569,mg N/L,1.259796,Fri Jul 12 16:45:35 2024,1,1
MYSTERY UNK,,Nitrate 2,-0.0440,mg N/L,0.020041,Fri Jul 12 14:46:38 2024,1,1
29-1-03,,Ammonia 2.0, 1.1965,mg N/L,0.150199,Fri Jul 12 12:41:31 2024,1,5.00
29-1-03,,Nitrate 2, 0.1127,mg N/L,0.048579,Fri Jul 12 14:48:40 2024,1,1
34-1-03,,Ammonia 2.0, 0.2890,mg N/L,0.066895,Fri Jul 12 12:43:33 2024,1,5.00
34-1-03,,Nitrate 2,-0.0036,mg N/L,0.027396,Fri Jul 12 14:50:42 2024,1,1
29-2-33,,Ammonia 2.0, 0.5004,mg N/L,0.086301,Fri Jul 12 12:45:35 2024,1,5.00
29-2-33,,Nitrate 2, 0.0102,mg N/L,0.029914,Fri Jul 12 14:52:44 2024,1,1
C C V,,Ammonia 2.0, 0.9424,mg N/L,0.472889,Fri Jul 12 12:47:37 2024,1,1
C C V,,Nitrate 2, 0.9902,mg N/L,0.208444,Fri Jul 12 14:54:46 2024,1,1
C C B ,,Ammonia 2.0,-0.0209,mg N/L,0.030778,Fri Jul 12 12:49:39 2024,1,1
C C B ,,Nitrate 2,-0.0829,mg N/L,0.012947,Fri Jul 12 14:56:48 2024,1,1
26-1-47,,Ammonia 2.0, 0.5731,mg N/L,0.092968,Fri Jul 12 12:51:41 2024,1,5.00
26-1-47,,Nitrate 2, 0.0005,mg N/L,0.028143,Fri Jul 12 14:58:50 2024,1,1
56-1-33,,Ammonia 2.0, 2.1605,mg N/L,0.238685,Fri Jul 12 12:53:43 2024,1,5.00
56-1-33,,Nitrate 2,-0.0744,mg N/L,0.014491,Fri Jul 12 15:00:55 2024,1,1
29-1-16,,Ammonia 2.0, 0.6252,mg N/L,0.097752,Fri Jul 12 12:55:44 2024,1,5.00
29-1-16,,Nitrate 2,-0.0727,mg N/L,0.014811,Fri Jul 12 15:02:58 2024,1,1
34-1-32,,Ammonia 2.0, 0.1075,mg N/L,0.050229,Fri Jul 12 12:57:45 2024,1,5.00
34-1-32,,Nitrate 2, 0.0775,mg N/L,0.042179,Fri Jul 12 15:05:00 2024,1,1
49-1-33,,Ammonia 2.0, 0.2578,mg N/L,0.064029,Fri Jul 12 12:59:45 2024,1,5.00
49-1-33,,Nitrate 2,-0.0242,mg N/L,0.023639,Fri Jul 12 15:07:03 2024,1,1
29-1-33,,Ammonia 2.0, 1.6633,mg N/L,0.193046,Fri Jul 12 13:01:46 2024,1,5.00
29-1-33,,Nitrate 2, 0.0177,mg N/L,0.031273,Fri Jul 12 15:09:05 2024,1,1
31-1-47,,Ammonia 2.0, 0.9289,mg N/L,0.125632,Fri Jul 12 13:03:48 2024,1,5.00
31-1-47,,Nitrate 2,-0.0481,mg N/L,0.019294,Fri Jul 12 15:11:07 2024,1,1
31-1-16,,Ammonia 2.0, 1.0702,mg N/L,0.138603,Fri Jul 12 13:05:49 2024,1,5.00
31-1-16,,Nitrate 2,-0.0477,mg N/L,0.019365,Fri Jul 12 15:13:10 2024,1,1
56-1-16,,Ammonia 2.0, 2.0283,mg N/L,0.226547,Fri Jul 12 13:07:51 2024,1,5.00
56-1-16,,Nitrate 2, 0.1923,mg N/L,0.063085,Fri Jul 12 15:15:12 2024,1,1
31-2-47,,Ammonia 2.0, 0.6470,mg N/L,0.099759,Fri Jul 12 13:09:52 2024,1,5.00
31-2-47,,Nitrate 2,-0.0672,mg N/L,0.015816,Fri Jul 12 15:17:15 2024,1,1
C C V,,Ammonia 2.0, 0.9616,mg N/L,0.481720,Fri Jul 12 13:11:50 2024,1,1
