Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,C C V,o-Phos 1,0.502,mg P/L,0.177616,Sat Jul 13 14:47:49 2024,1,1
C C B ,C C B ,o-Phos 1,-0.008,mg P/L,0.032777,Sat Jul 13 14:49:09 2024,1,1
11/01/1947,11/01/1947,o-Phos 1,0.098,mg P/L,0.062797,Sat Jul 13 14:50:28 2024,1,1
12/01/1947,12/01/1947,o-Phos 1,0.112,mg P/L,0.066969,Sat Jul 13 14:51:46 2024,1,1
7/02/2016,7/02/2016,o-Phos 1,-0.102,mg P/L,0.006171,Sat Jul 13 14:53:04 2024,1,1
26/02/1933,26/02/1933,o-Phos 1,0.186,mg P/L,0.087978,Sat Jul 13 14:54:22 2024,1,1
5/01/1947,5/01/1947,o-Phos 1,0.162,mg P/L,0.081126,Sat Jul 13 14:55:40 2024,1,1
5/02/1933,5/02/1933,o-Phos 1,0.163,mg P/L,0.081287,Sat Jul 13 14:56:58 2024,1,1
12/02/2003,12/02/2003,o-Phos 1,0.032,mg P/L,0.044199,Sat Jul 13 14:58:17 2024,1,1
12/01/1933,12/01/1933,o-Phos 1,0.136,mg P/L,0.073665,Sat Jul 13 14:59:35 2024,1,1
31/01/1933,31/01/1933,o-Phos 1,0.269,mg P/L,0.111381,Sat Jul 13 15:00:53 2024,1,1
12/02/1947,12/02/1947,o-Phos 1,0.136,mg P/L,0.073633,Sat Jul 13 15:02:12 2024,1,1
C C V,C C V,o-Phos 1,0.665,mg P/L,0.223897,Sat Jul 13 15:03:30 2024,1,1
C C B ,C C B ,o-Phos 1,0.046,mg P/L,0.048048,Sat Jul 13 15:04:51 2024,1,1
8/01/2015,8/01/2015,o-Phos 1,0.157,mg P/L,0.079714,Sat Jul 13 15:06:09 2024,1,1
8/01/1933,8/01/1933,o-Phos 1,0.165,mg P/L,0.081797,Sat Jul 13 15:07:27 2024,1,1
10/02/2016,10/02/2016,o-Phos 1,0.13,mg P/L,0.07192,Sat Jul 13 15:08:45 2024,1,1
26/02/1947,26/02/1947,o-Phos 1,0.13,mg P/L,0.0719,Sat Jul 13 15:10:03 2024,1,1
12/02/2016,12/02/2016,o-Phos 1,0.182,mg P/L,0.052259,Sat Jul 13 16:28:48 2024,1,3.01
26/01/2016,26/01/2016,o-Phos 1,0.205,mg P/L,0.093296,Sat Jul 13 15:12:38 2024,1,1
56-2-33,56-2-33,o-Phos 1,0.388,mg P/L,0.145174,Sat Jul 13 15:13:55 2024,1,1
11/02/2016,11/02/2016,o-Phos 1,0.063,mg P/L,0.052849,Sat Jul 13 15:15:12 2024,1,1
11/02/1933,11/02/1933,o-Phos 1,0.16,mg P/L,0.080498,Sat Jul 13 15:16:29 2024,1,1
5/01/2016,5/01/2016,o-Phos 1,0.152,mg P/L,0.078231,Sat Jul 13 15:17:46 2024,1,1
C C V,C C V,o-Phos 1,0.622,mg P/L,0.21155,Sat Jul 13 15:19:03 2024,1,1
C C B ,C C B ,o-Phos 1,0.041,mg P/L,0.046627,Sat Jul 13 15:20:24 2024,1,1
8/01/2003,8/01/2003,o-Phos 1,0.2,mg P/L,0.091806,Sat Jul 13 15:21:44 2024,1,1
7/02/1933,7/02/1933,o-Phos 1,0.165,mg P/L,0.081881,Sat Jul 13 15:23:01 2024,1,1
26/02/2017,26/02/2017,o-Phos 1,0.188,mg P/L,0.08841,Sat Jul 13 15:24:18 2024,1,1
31-2-16,31-2-16,o-Phos 1,0.169,mg P/L,0.082965,Sat Jul 13 15:25:35 2024,1,1
8/02/2016,8/02/2016,o-Phos 1,0.151,mg P/L,0.078042,Sat Jul 13 15:26:52 2024,1,1
CTRL D 260324,CTRL D 260324,o-Phos 1,0.045,mg P/L,0.047715,Sat Jul 13 15:28:09 2024,1,1
26/02/2003,26/02/2003,o-Phos 1,0.195,mg P/L,0.090521,Sat Jul 13 15:29:26 2024,1,1
8/01/1947,8/01/1947,o-Phos 1,0.249,mg P/L,0.105821,Sat Jul 13 15:30:43 2024,1,1
12/01/2016,12/01/2016,o-Phos 1,0.137,mg P/L,0.073906,Sat Jul 13 15:32:00 2024,1,1
11/02/2003,11/02/2003,o-Phos 1,0.149,mg P/L,0.077264,Sat Jul 13 15:33:17 2024,1,1
C C V,C C V,o-Phos 1,0.592,mg P/L,0.203161,Sat Jul 13 15:34:35 2024,1,1
