"Site ""OTU_270""	""OTU_235""	""OTU_404""	""OTU_205""	""OTU_367""	""OTU_134""	""OTU_156""	""OTU_391""	""OTU_133""	""OTU_410""	""OTU_418""	""OTU_278""	""OTU_394""	""OTU_399""	""OTU_388""	""OTU_395""	""OTU_428""	""OTU_116""	""OTU_292""	""OTU_397""	""OTU_177""	""OTU_352""	""OTU_419""	""OTU_355""	""OTU_248""	""OTU_286""	""OTU_422""	""OTU_326""	""OTU_310""	""OTU_328""	""OTU_330""	""OTU_449""	""OTU_396""	""OTU_427""	""OTU_368""	""OTU_293""	""OTU_289"""
"so05	0	0	0	0	0	0	0	4767	0	0	0	0	0	0	0	0	0	0	0	667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0"
"so07	53	72	7814	0	0	0	0	12	0	130	0	0	0	16	0	0	15	0	23	108	0	447	599	295	0	592	0	322	137	192	108	12	0	0	0	0	246"
"so07bis	53	72	1968	0	0	0	0	12	0	0	0	0	0	16	0	0	15	0	0	108	0	421	0	295	0	0	0	37	39	53	0	12	0	0	0	0	0"
"so08	0	0	0	0	0	0	0	116	0	0	0	0	0	13	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0"
"so10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0"
"so11	0	0	6088	0	0	0	0	0	0	0	0	0	35	0	1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0"
"so12	0	0	22	0	0	5	17	8	0	0	10	0	0	15	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0"
"so26	0	0	27	0	0	0	0	0	0	0	20	6	0	22	0	0	0	0	0	236	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	0	0"
"so29	0	0	1995	0	0	0	0	0	0	0	12108	0	0	0	0	0	0	0	0	0	0	52	839	0	0	0	0	0	0	0	0	0	0	0	0	0	0"
"so31	483	775	49	95	10	26	63	0	35	0	0	0	0	0	0	0	0	10	0	0	43	0	0	0	11	0	0	0	0	0	0	0	0	0	0	5	0"
"so34	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	3016	0	0	0	659	0	0	0	0	0	0	129	0	0	0	0	0	38	25	0	0	0"
"so49	0	0	131	0	0	0	0	42	0	0	84	0	0	7451	27	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0"
