,SiteNo,DateFirst,SpeciesCode,ScientificName,Q1.,Q2.,Q3.,Q4.,Q5.,Q6.,Q7.,Q8.,Q9.,Q10.,Q11.,Q12.,Q13.,Q14.,Q15.,Q16.,Q17.,Q18.,Q19.,Q20.,Q21.,Q22.,Q23.,Q24.,Q25.,Q26.,Q27.,Q28.,Q29.,Q30.
1,ABS001,1/08/2022 0:00,3723,Acacia brownii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,ABS001,1/08/2022 0:00,3885,Acacia terminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0
3,ABS001,1/08/2022 0:00,4749,Anisopogon avenaceus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,ABS001,1/08/2022 0:00,5348,Banksia serrata,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0
5,ABS001,1/08/2022 0:00,7488,Banksia spinulosa var. spinulosa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,ABS001,1/08/2022 0:00,4671,Billardiera scandens,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,ABS001,1/08/2022 0:00,5744,Boronia ledifolia,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0
8,ABS001,1/08/2022 0:00,2780,Bossiaea heterophylla,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0
9,ABS001,1/08/2022 0:00,2789,Bossiaea scolopendria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
10,ABS001,1/08/2022 0:00,CASY,Cassytha spp.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0
11,ABS001,1/08/2022 0:00,2343,Caustis recurvata,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1
12,ABS001,1/08/2022 0:00,5351,Conospermum longifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
13,ABS001,1/08/2022 0:00,9687,Corymbia gummifera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,ABS001,1/08/2022 0:00,2347,Cyathochaeta diandra,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
15,ABS001,1/08/2022 0:00,3174,Dampiera stricta,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0
16,ABS001,1/08/2022 0:00,2827,Daviesia ulicifolia,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0
17,ABS001,1/08/2022 0:00,4156,Eucalyptus piperita,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
18,ABS001,1/08/2022 0:00,2440,Gahnia microstachya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
19,ABS001,1/08/2022 0:00,2864,Gompholobium glabratum,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
20,ABS001,1/08/2022 0:00,3248,Gonocarpus teucrioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
21,ABS001,1/08/2022 0:00,3175,Goodenia bellidifolia,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,ABS001,1/08/2022 0:00,3236,Haemodorum planifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,ABS001,1/08/2022 0:00,5409,Hakea dactyloides,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,ABS001,1/08/2022 0:00,2527,Hibbertia aspera,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1
25,ABS001,1/08/2022 0:00,2875,Hovea lanceolata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,ABS001,1/08/2022 0:00,5440,Lambertia formosa,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
27,ABS001,1/08/2022 0:00,8749,Lepidosperma gunnii,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
28,ABS001,1/08/2022 0:00,8486,Leptospermum trinervium,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
29,ABS001,1/08/2022 0:00,6406,Lindsaea linearis,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1
30,ABS001,1/08/2022 0:00,6400,Lomandra filiformis,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1
31,ABS001,1/08/2022 0:00,,Lomandra glauca,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
32,ABS001,1/08/2022 0:00,6305,Lomandra gracilis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,ABS001,1/08/2022 0:00,6312,Lomandra obliqua,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0
34,ABS001,1/08/2022 0:00,5445,Lomatia silaifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
35,ABS001,1/08/2022 0:00,2649,Monotoca scoparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
36,ABS001,1/08/2022 0:00,ORCHC,Orchidaceae indeterminate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,ABS001,1/08/2022 0:00,3301,Patersonia glabrata,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0
38,ABS001,1/08/2022 0:00,3303,Patersonia sericea,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
39,ABS001,1/08/2022 0:00,7141,Patersonia sericea var. longifolia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,ABS001,1/08/2022 0:00,5462,Persoonia levis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
