New Name,Corner,Tag #,Latitude,Longitude
ABS005,1,Q392,-33.5781,150.27821
ABS005,2,Q393,-33.57856,150.27821
ABS005,3,Q394,-33.57854,150.27782
ABS005,4,Q395,-33.57813,150.27782
ABS007,1,Q396,-33.63916,150.36966
ABS007,2,Q397,-33.63944,150.37004
ABS007,3,Q398,-33.63968,150.36967
ABS007,4,Q399,-33.63937,150.36935
ABS008,1,Q351,-33.65039,150.32069
ABS008,2,Q352,-33.65043,150.32126
ABS008,3,Q353,-33.65073,150.32129
ABS008,4,Q354,-33.65077,150.32079
ABS010,1,Q358,-33.48607,150.40622
ABS010,2,Q359,-33.48592,150.40575
ABS010,3,Q360,-33.48561,150.40584
ABS010,4,Q361,-33.48575,150.40636
ABS011,1,Q362,-33.51962,150.35631
ABS011,2,Q363,-33.51956,150.35683
ABS011,3,Q364,-33.51988,150.35699
ABS011,4,Q365,-33.51992,150.35643
ABS012,1,Q366,-33.52589,150.56587
ABS012,2,Q367,-33.52584,150.56639
ABS012,3,Q368,-33.52621,150.56654
ABS012,4,Q369,-33.52627,150.56599
ABS026,1,Q347,-33.4982,150.50014
ABS026,2,Q348,-33.49786,150.50053
ABS026,3,Q349,-33.49805,150.50084
ABS026,4,Q350,-33.49841,150.50049
ABS029,1,BC80,-34.08446,151.07002
ABS029,2,BC81,-34.08472,151.06958
ABS029,3,BC82,-34.08439,151.06937
ABS029,4,BC83,-34.08415,151.06981
ABS031,1,BC88,-33.1823,150.69537
ABS031,2,BC89,-33.18272,150.69522
ABS031,3,BC90,-33.18265,150.69476
ABS031,4,BC91,-33.18223,150.69495
ABS034,1,,-33.44346,150.59972
ABS049,1,,-33.26627,150.67812
ABS056,,,-32.79934,150.90987
