"","site","Long","Lat","precip_Jan","precip_Feb","precip_Mar","precip_Apr","precip_May","precip_Jun","precip_Jul","precip_Aug","precip_Sep","precip_Oct","precip_Nov","precip_Dec","Annual_Temp","Annual_Prec","Tavg_Jan","Tavg_Feb","Tavg_Mar","Tavg_Apr","Tavg_May","Tavg_Jun","Tavg_Jul","Tavg_Aug","Tavg_Sep","Tavg_Oct","Tavg_Nov","Tavg_Dec","wc2.1_30s_elev"
"1","ABS001",150.36008,-33.66375,178,167,169,117,107,83,58,76,74,94,108,106,12.5583333969116,9.55000019073486,18.2000007629395,18,16.2000007629395,13.1000003814697,10.1999998092651,7.40000009536743,6.5,7.40000009536743,9.80000019073486,12.5,14.3999996185303,17,890
"2","ABS002",150.39412,-33.64083,174,164,161,109,103,79,56,72,72,90,106,105,13.0958337783813,9.69166660308838,18.7000007629395,18.5,16.7999992370605,13.6000003814697,10.6999998092651,8,7,8,10.3000001907349,13,14.8999996185303,17.6000003814697,794
"3","ABS003",150.26981,-33.5896,155,146,151,104,100,80,62,83,75,93,101,99,11.8041667938232,9.59166622161865,17.7000007629395,17.3999996185303,15.6000003814697,12.1999998092651,9.19999980926514,6.40000009536743,5.40000009536743,6.40000009536743,8.89999961853027,11.8000001907349,13.8999996185303,16.6000003814697,1031
"4","ABS004",150.28671,-33.56827,155,144,146,100,96,75,59,78,74,90,98,98,12.2291669845581,9.67500019073486,18.1000003814697,17.7999992370605,16,12.6999998092651,9.60000038146973,6.80000019073486,5.90000009536743,6.90000009536743,9.39999961853027,12.1999998092651,14.3000001907349,17,946
"5","ABS005",150.27821,-33.5781,155,145,149,101,98,77,60,80,74,91,99,98,12.0708332061768,9.67500019073486,18,17.7000007629395,15.8000001907349,12.5,9.5,6.69999980926514,5.69999980926514,6.69999980926514,9.19999980926514,12.1000003814697,14.1999998092651,16.7999992370605,977
"6","ABS006",150.35112,-33.56611,168,156,160,106,103,79,58,78,74,93,104,103,12.3583335876465,9.66666698455811,18.1000003814697,17.7999992370605,16.1000003814697,12.8000001907349,9.80000019073486,7.09999990463257,6.09999990463257,7.09999990463257,9.5,12.3999996185303,14.3999996185303,17,910
"7","ABS007",150.36966,-33.63916,176,164,164,114,106,82,57,75,73,93,107,105,12.7541666030884,9.49166679382324,18.3999996185303,18.2000007629395,16.3999996185303,13.3000001907349,10.3999996185303,7.59999990463257,6.69999980926514,7.59999990463257,9.89999961853027,12.6999998092651,14.6000003814697,17.2000007629395,874
"8","ABS008",150.32069,-33.65039,174,164,167,114,107,85,58,79,75,95,107,105,12.2124996185303,9.45833301544189,18,17.7000007629395,15.8999996185303,12.6999998092651,9.69999980926514,7,6,7,9.39999961853027,12.1999998092651,14.1999998092651,16.7999992370605,945
"9","ABS009",150.33315,-33.66061,177,167,172,118,109,86,59,79,75,96,108,106,12.2249994277954,9.44999980926514,18,17.7000007629395,15.8999996185303,12.6999998092651,9.69999980926514,7,6,7,9.39999961853027,12.1999998092651,14.1000003814697,16.7999992370605,946
"10","ABS010",150.40622,-33.48607,167,155,154,100,100,75,57,75,73,91,105,103,12.8208332061768,9.79166698455811,18.5,18.2999992370605,16.5,13.3999996185303,10.3000001907349,7.59999990463257,6.59999990463257,7.59999990463257,10,12.8000001907349,14.8000001907349,17.3999996185303,811
