Hit/Sample,Samples count,Total,CG124-ITS-CG77,CG124-ITS-CG90,CG124-ITS-CG85,CG124-ITS-CG46,CG124-ITS-CG88,CG124-ITS-CG94,CG124-ITS-CG97,CG124-ITS-CG91,CG124-ITS-CG96,CG124-ITS-CG42,CG124-ITS-CG15,CG124-ITS-CG41,CG124-ITS-CG86,CG124-ITS-CG45,CG124-ITS-CG5,CG124-ITS-CG31,CG124-ITS-CG59,CG124-ITS-CG18,CG124-ITS-CG76,CG124-ITS-CG78,CG124-ITS-CG100,CG124-ITS-CG93,CG124-ITS-CG43,CG124-ITS-CG37,CG124-ITS-CG61,CG124-ITS-CG62,CG124-ITS-CG89,CG124-ITS-CG66,CG124-ITS-CG3,CG124-ITS-CG75,CG124-ITS-CG57,CG124-ITS-CG50,CG124-ITS-CG30,CG124-ITS-CG70,CG124-ITS-CG92,CG124-ITS-CG49,CG124-ITS-CG79,CG124-ITS-CG9,CG124-ITS-CG34,CG124-ITS-CG38,CG124-ITS-CG23,CG124-ITS-CG1,CG124-ITS-CG4,CG124-ITS-CG22,CG124-ITS-CG36,CG124-ITS-CG14,CG124-ITS-CG2,CG124-ITS-CG17,CG124-ITS-CG7,CG124-ITS-CG87,CG124-ITS-CG21,CG124-ITS-CG63,CG124-ITS-CG95,CG124-ITS-CG54,CG124-ITS-CG64,CG124-ITS-CG104,CG124-ITS-CG10,CG124-ITS-CG117,CG124-ITS-CG33,CG124-ITS-CG20,CG124-ITS-CG11,CG124-ITS-CG48,CG124-ITS-CG107,CG124-ITS-CG44,CG124-ITS-CG19,CG124-ITS-CG73,CG124-ITS-CG65,CG124-ITS-CG6,CG124-ITS-CG83,CG124-ITS-CG68,CG124-ITS-CG13,CG124-ITS-CG84,CG124-ITS-CG56,CG124-ITS-CG51,CG124-ITS-CG12,CG124-ITS-CG16,CG124-ITS-CG53,CG124-ITS-CG98,CG124-ITS-CG58,CG124-ITS-CG80,CG124-ITS-CG28,CG124-ITS-CG25,CG124-ITS-CG32,CG124-ITS-CG122,CG124-ITS-CG47,CG124-ITS-CG35,CG124-ITS-CG67,CG124-ITS-CG39,CG124-ITS-CG40,CG124-ITS-CG52,CG124-ITS-CG72,CG124-ITS-CG110,CG124-ITS-CG74,CG124-ITS-CG27,CG124-ITS-CG26,CG124-ITS-CG69,CG124-ITS-CG55,CG124-ITS-CG8,CG124-ITS-CG119,CG124-ITS-CG24,CG124-ITS-CG99,CG124-ITS-CG81,CG124-ITS-CG29,CG124-ITS-CG124,CG124-ITS-CG60,CG124-ITS-CG121,CG124-ITS-CG82,CG124-ITS-CG120,CG124-ITS-CG106,CG124-ITS-CG123,CG124-ITS-CG105,CG124-ITS-CG71,CG124-ITS-CG109,CG124-ITS-CG115,CG124-ITS-CG101,CG124-ITS-CG103,CG124-ITS-CG102,CG124-ITS-CG114,CG124-ITS-CG113,CG124-ITS-CG116,CG124-ITS-CG111,CG124-ITS-CG108,CG124-ITS-CG112,CG124-ITS-CG118,taxonomy
Taxa count,,2053,181,101,319,139,152,169,25,263,24,185,313,197,219,178,161,182,127,280,174,181,23,192,235,116,177,183,129,135,290,151,131,185,183,159,217,193,209,158,182,132,219,333,257,137,120,214,246,236,125,194,128,176,144,185,188,33,151,12,148,145,244,153,18,169,127,242,90,142,206,210,237,131,185,216,225,208,256,29,130,189,225,89,212,27,181,172,253,175,150,162,160,15,176,166,113,192,193,103,23,172,22,166,159,68,113,41,168,37,29,44,33,102,13,18,12,8,5,18,18,21,15,14,10,14,
Cleaned reads,,1518899,24430,24462,23494,21450,19293,20942,17506,20045,17163,21780,18886,20295,17547,19706,17036,20067,18792,17606,17674,17441,14344,16399,16124,14671,16798,16583,15838,15014,15472,16217,16726,15872,15017,14059,14201,17356,13748,15056,14956,16922,16734,14383,14107,16250,21103,15354,13983,14897,17010,13041,15873,13188,14304,13918,13309,10687,12683,10490,11630,11068,13778,13933,9943,11753,12611,13891,12318,11449,13288,12122,12658,16296,12407,12464,12279,10074,11666,8678,12596,10149,11746,11087,12502,8911,10971,11140,11488,11185,10822,15159,12429,7363,10144,9728,11656,10056,8009,10238,6709,7527,6093,11660,5871,4401,10383,4134,9758,3134,3131,3433,2144,5375,1723,733,637,626,482,212,209,172,139,111,73,42,
Total,124,1202947,22503,19899,19768,19757,18270,17434,17336,17218,16895,16757,16343,16279,15902,15807,15571,15490,15366,15107,14657,14540,14152,13554,13506,13402,13190,13009,12833,12797,12781,12731,12656,12504,12435,12344,12238,12229,12187,12166,12071,12035,11872,11868,11842,11774,11722,11547,11278,11268,11225,11203,11121,10956,10819,10811,10652,10574,10515,10465,10069,10065,10055,10021,9907,9870,9863,9738,9525,9485,9411,9394,9313,9278,9136,9057,8998,8719,8686,8636,8609,8540,8453,8407,8313,8138,8074,8005,7958,7931,7644,7640,7368,7351,7332,7267,7021,6790,6743,6487,6314,6261,6000,5248,5020,4253,4250,4042,3572,3072,3071,2791,2055,1670,1604,724,620,595,467,198,195,153,77,74,55,38,
SH1257715.09FU,95,495693,3035,3305,9684,10823,6239,5809,0,10183,0,5279,8862,5690,12167,11080,6697,6754,4533,9249,5557,2000,0,6020,5137,10270,6897,5974,8871,1719,6096,7154,7880,5795,8591,9526,7911,5157,5033,7579,2836,5114,7189,6711,6413,8925,1904,7039,6851,6912,7316,2090,5942,7445,4145,6321,5606,0,7751,0,4292,6237,4989,4294,0,3700,3590,3819,2248,5782,3068,2068,5197,1112,3771,6153,4541,5122,4773,0,6667,2199,4061,1532,4001,0,4045,2294,3913,4712,5115,4529,4199,0,2331,3228,158,257,4251,4453,0,3127,0,1956,3875,0,249,0,590,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,100%|Rhizophydiales_sp|UDB0641656|SH1257715.09FU|reps|k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Rhizophydiales_fam_Incertae_sedis;g__Rhizophydiales_gen_Incertae_sedis;s__Rhizophydiales_sp
SH1322839.09FU,83,71214,12554,12048,1413,186,8323,2278,0,472,0,139,491,214,238,2,592,2184,958,589,1475,3599,0,1230,385,33,203,510,0,2627,314,72,2468,819,52,12,761,0,1574,63,2,43,102,422,90,0,5,133,167,333,1653,15,0,21,0,1247,27,0,7,0,449,12,7,8,1,150,0,25,0,116,101,928,71,5,3,95,6,632,324,0,20,2666,140,0,413,0,322,107,327,0,0,41,363,0,65,356,0,12,26,0,0,3,0,9,95,0,0,0,57,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,100%|GS35_sp|UDB097091|SH1322839.09FU|reps|k__Fungi;p__Ascomycota;c__GS35;o__GS35_ord_Incertae_sedis;f__GS35_fam_Incertae_sedis;g__GS35_gen_Incertae_sedis;s__GS35_sp
SH1391982.09FU,95,46990,586,294,192,2030,1213,948,0,715,0,1802,77,999,795,445,286,1102,4813,164,565,765,0,1117,892,713,388,253,371,520,172,349,637,659,256,162,526,632,1643,135,339,3320,36,422,262,5,11,140,93,457,230,38,12,185,156,110,40,0,142,0,1093,85,57,659,0,662,169,164,1706,414,57,164,111,16,53,201,55,48,88,0,85,693,176,337,857,0,261,25,87,66,381,82,471,0,58,298,2540,778,65,6,0,42,0,45,147,0,423,0,46,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,100%|Umbelopsis_angularis|JN206380|SH1391982.09FU|refs|k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis_angularis
SH2637969.09FU,61,30467,17,0,394,0,24,0,16892,3,9229,0,57,0,64,0,19,0,0,3,6,18,0,0,1,0,0,1,0,1,12,1,0,0,0,1,1,2,1,3,1,0,7,8,4,0,0,0,0,2,0,1519,0,1,22,0,0,11,0,0,0,0,4,0,0,0,1,7,0,0,0,737,0,0,0,0,0,5,0,1,0,1,0,0,0,1,1,0,224,1,1,0,1,0,5,0,2,2,0,1,1,67,1,2,0,0,6,367,24,30,0,1,539,11,1,0,0,0,0,0,97,0,0,0,0,0,100%|Cryptococcus_nyarrowii|KY103594|SH2637969.09FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus;s__Cryptococcus_nyarrowii
SH0879828.09FU,120,29668,371,0,119,18,704,74,43,263,2,34,25,30,27,49,114,44,23,55,74,257,6071,557,36,5,9,7,25,122,66,41,25,139,22,63,122,69,37,22,446,18,55,169,45,4,1,12,37,55,9,3736,10,86,609,30,10,1655,7,3,82,25,75,8,2,27,29,124,70,13,13,3092,17,11,1,33,103,6,46,2796,51,57,54,9,40,34,7,2,1442,31,31,17,34,1,106,77,135,107,10,14,11,846,591,7,14,27,152,4,30,229,486,15,15,224,1394,3,6,4,2,4,0,4,0,4,0,3,100%|Solicoccozyma_fuscescens|KY105436|SH0879828.09FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_fuscescens
SH1063491.09FU,13,22550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10443,0,0,0,0,9647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,0,0,2,0,0,95,0,1,0,0,1,0,111,0,1,0,0,100%|Absidia_sp|UDB0820216|SH1063491.09FU|reps|k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Absidia;s__Absidia_sp
SH1193262.09FU,19,22469,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4329,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5442,0,0,0,0,0,1629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2971,0,25,0,0,2250,0,1691,0,335,2427,1218,1,0,1,1,0,0,0,9,0,13,1,1,0,0,100%|Rhizopus_arrhizus|MK087654|SH1193262.09FU|reps|k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Rhizopodaceae;g__Rhizopus;s__Rhizopus_arrhizus
SH1306492.09FU,85,15241,261,1,15,18,100,1659,0,200,0,0,13,11,3,5,883,713,1930,8,58,297,0,449,59,60,72,220,12,2875,39,7,9,2,307,160,119,3,63,0,2,77,3,24,43,1,4,53,29,11,0,3,0,3,3,15,35,0,3,0,26,0,46,2,0,23,0,25,2198,173,42,45,39,30,2,120,98,5,11,0,7,57,55,658,120,0,6,19,17,0,0,44,45,0,22,81,158,48,6,0,0,10,0,18,38,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,100%|Mortierella_sp|UDB04688004|SH1306492.09FU|reps|k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp
SH0940991.09FU,83,14792,275,470,16,60,87,122,0,117,0,1290,20,1662,4,149,38,356,170,26,5,120,0,153,1955,0,47,123,104,265,234,4,136,2,1,0,30,6,643,40,67,383,6,79,56,0,0,18,23,27,0,0,81,65,18,0,15,0,2,0,913,0,13,2,0,1890,14,7,1166,2,9,3,27,5,1,84,12,31,5,0,8,104,114,103,127,0,3,11,3,134,41,36,12,0,23,82,6,0,2,0,0,0,0,186,13,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%|Umbelopsis_sp|UDB0453507|SH0940991.09FU|reps|k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis_sp
SH1258648.09FU,74,12658,1,122,611,0,0,0,0,50,0,3,144,6,114,4,2,0,0,54,0,0,0,8,17,0,25,5,79,0,172,1621,83,24,3,24,16,5,4,22,0,0,649,116,582,44,1,80,32,2,47,176,576,1122,4,0,942,0,0,0,2,13,1090,0,0,8,2,494,0,1,136,1,111,483,724,106,820,17,41,0,207,1,35,0,2,0,3,1,0,10,27,33,1,0,167,2,0,1,287,9,0,150,0,52,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%|Mycena_sp|UDB05033132|SH1258648.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Mycenaceae;g__Mycena;s__Mycena_sp
