"OTU","kingdom","phylum","class","order","family","genus","species","n","score","SH_species","SH_gb_acc","SH_sh_acc","SH_type","identity","coverage","trophicMode","guild"
"ITSall_OTUj_6461","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,18,0.947368421052632,"Helotiales_sp","AY268188","SH1155752.08FU","reps_singleton",0.979591836734694,1,NA,NA
"ITSall_OTUa_6311","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,23,1,"Penicillium_melinii","AY373923","SH1529989.08FU","refs",1,1,NA,NA
"ITSall_OTUa_2457","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia",NA,8,0.888888888888889,"Naganishia_sp","EF159211","SH1939340.08FU","refs",0.995475113122172,1,NA,NA
"ITSall_OTUj_1463","Fungi","Mucoromycota","Endogonomycetes",NA,NA,NA,NA,16,0.888888888888889,"GS22_sp","UDB0670155","SH2721672.08FU","reps",0.951807228915663,0.991967871485944,NA,NA
"ITSall_OTUm_2774","Fungi","Mucoromycota","Endogonomycetes",NA,NA,NA,NA,16,0.888888888888889,"GS22_sp","UDB0670155","SH2721672.08FU","reps",0.909090909090909,0.960474308300395,NA,NA
"ITSall_OTUa_67","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA,28,0.848484848484849,"Cladosporium_flabelliforme","HM148092","SH2320220.08FU","refs",1,1,NA,NA
"ITSall_OTUg_321","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia",NA,8,0.888888888888889,"Naganishia_sp","EF159211","SH1939340.08FU","refs",1,1,NA,NA
"ITSall_OTUa_1354","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis",NA,NA,6,1,"Leohumicola_sp","EU520631","SH1155845.08FU","reps_singleton",0.944444444444444,1,NA,NA
"ITSall_OTUi_2357","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,32,1,"Chaetothyriales_sp","AY230779","SH1186394.08FU","reps_singleton",0.987577639751553,1,NA,NA
"ITSall_OTUb_8092","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiales_fam_Incertae_sedis","Cylindrosympodioides","Cylindrosympodioides_brabejum",1,1,"Cylindrosympodioides_brabejum","KX228256","SH1222308.08FU","refs_singleton",0.993464052287582,0.993464052287582,NA,NA
"ITSall_OTUb_7854","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,32,1,"Chaetothyriales_sp","AY230779","SH1186394.08FU","reps_singleton",0.894409937888199,0.987577639751553,NA,NA
"ITSall_OTUj_7463","Fungi","Ascomycota","Leotiomycetes",NA,NA,NA,NA,6,0.75,"Helotiales_sp","UDB066184","SH1509605.08FU","reps",0.901408450704225,0.992957746478873,NA,NA
"ITSall_OTUa_370","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,24,1,"Penicillium_armarii","KM189758","SH2189965.08FU","refs",0.993589743589744,1,NA,NA
"ITSall_OTUj_1546","Fungi","Ascomycota","Sordariomycetes","Coniochaetales",NA,NA,NA,22,0.916666666666667,"Ascomycota_sp","KX611564","SH1234531.08FU","reps_singleton",0.894736842105263,0.927631578947368,NA,NA
"ITSall_OTUc_241","Fungi","Basidiomycota","Agaricomycetes","Russulales",NA,NA,NA,32,1,"Stereum_sanguinolentum","UDB019571","SH1575989.08FU","refs",0.861244019138756,0.942583732057416,NA,NA
